,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2009,2117748,4,Lollipop,BIGBANG,댄스
1,2,2009,2100540,4,"쏘리 쏘리 (Sorry, Sorry)",SUPER JUNIOR (슈퍼주니어),댄스
2,3,2009,2112982,4,토요일밤에,손담비,댄스
3,4,2009,2093360,4,8282,다비치,댄스
4,5,2009,2101157,4,심장이 없어,에이트,발라드
5,6,2009,2093361,4,사고쳤어요,다비치,발라드
6,7,2009,2063248,4,Insomnia (불면증),휘성 (Realslow),R&B/Soul
7,8,2009,2101171,4,오랜만이야,임창정,발라드
8,9,2009,2119816,4,눈물이 뚝뚝,케이윌,발라드
9,10,2009,2012282,4,Gee,소녀시대 (GIRLS` GENERATION),댄스
10,11,2009,2109706,4,친구의 고백,2AM,발라드
11,12,2009,2056871,4,Honey,카라,댄스
12,13,2009,2049250,4,반쪽,화요비,R&B/Soul
13,14,2009,2102150,4,헤어지는 중입니다,이은미,발라드
14,15,2009,2122195,4,터질 것 같아,지아,발라드
15,16,2009,2097619,4,행복병 (Feat. Shorry J (MM)),김종국,발라드
16,17,2009,2042756,4,구속,플라이 투 더 스카이,발라드
17,18,2009,2019681,4,사랑..그 놈,바비 킴,R&B/Soul
18,19,2009,2109949,4,마음으로 하는 말 (Feat. Hanyi),프리스타일,랩/힙합
19,20,2009,2053450,4,나쁜 여자야,FTISLAND (FT아일랜드),발라드
20,21,2009,2024974,4,AH,애프터스쿨,댄스
21,22,2009,2015250,4,살만해,브랜뉴데이,발라드
22,23,2009,2097848,4,한사람을 위한 마음,럼블피쉬,발라드
23,24,2009,2115752,4,나 혼자서,티파니 (TIFFANY),"발라드, 국내드라마"
24,25,2009,2051448,4,전화 한 번 못하니 (Feat. 미스에스 태혜영),왁스,발라드
25,26,2009,1996934,4,이젠 남이야 (Feat. Baby-J Of Jewelry),김경록 (V.O.S),발라드
26,27,2009,2117260,4,Map The Soul (Feat. MYK),에픽하이 (EPIK HIGH),랩/힙합
27,28,2009,2020854,4,사랑..다 거짓말,린,발라드
28,29,2009,2129151,4,Diva,애프터스쿨,댄스
29,30,2009,2030248,4,떠나지마...,윤미래,R&B/Soul
30,31,2009,2012251,4,연애소설,가비엔제이,발라드
31,32,2009,1964754,4,비와 당신 (영화 `라디오스타` 삽입곡),럼블피쉬,록/메탈
32,33,2009,2017349,4,내 머리가 나빠서,SS501,"발라드, 국내드라마"
33,34,2009,1951550,4,붉은 노을,BIGBANG,"댄스, 랩/힙합"
34,35,2009,1977448,4,러브119 (Feat. MC몽),케이윌,발라드
35,36,2009,2104532,4,그대에게 하는 말,스윗소로우 (SWEET SORROW),발라드
36,37,2009,1984049,4,Pretty Girl,카라,댄스
37,38,2009,2008648,4,Stylish (The FILA),BIGBANG,랩/힙합
38,39,2009,2122156,4,전화하지마 (Feat. 태인),나몰라패밀리 (Namolla Family),"발라드, 랩/힙합"
