,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2015,5385974,8,위잉위잉,혁오 (HYUKOH),"인디음악, 록/메탈"
1,2,2015,5807274,8,우리 사랑하지 말아요,BIGBANG,댄스
2,3,2015,5804040,8,19금 거북선 (Feat. 팔로알토),Ja Mezz,랩/힙합
3,4,2015,5807273,8,쩔어 (GD & T.O.P),BIGBANG,랩/힙합
4,5,2015,5389475,8,양화대교,Zion.T,R&B/Soul
5,6,2015,5804238,8,I Feel You,원더걸스,댄스
6,7,2015,5713422,8,와리가리,혁오 (HYUKOH),"인디음악, 록/메탈"
7,8,2015,5826461,8,레옹,"이유 갓지(GOD G) 않은 이유 (박명수, 아이유)",댄스
8,9,2015,5748499,8,SHAKE IT,씨스타,댄스
9,10,2015,5815785,8,사이먼 도미닉,사이먼 도미닉,랩/힙합
10,11,2015,5719286,8,뱅뱅뱅 (BANG BANG BANG),BIGBANG,랩/힙합
11,12,2015,5824839,8,맙소사,"황태지 (황광희, 태양, 지드래곤)",댄스
12,13,2015,5781104,8,Remember,Apink (에이핑크),댄스
13,14,2015,5702706,8,꺼내 먹어요,Zion.T,R&B/Soul
14,15,2015,5748406,8,심쿵해 (Heart Attack),AOA,댄스
15,16,2015,5818522,8,오빠차,인크레더블,랩/힙합
16,17,2015,5826462,8,스폰서 ($ponsor),"으뜨거따시 (하하, 자이언티)",R&B/Soul
17,18,2015,5743804,8,음오아예 (Um Oh Ah Yeh),마마무(Mamamoo),댄스
18,19,2015,5794982,8,"RESPECT (Feat. 로꼬, GRAY & DJ Pumkin)",식케이 (Sik-K),랩/힙합
19,20,2015,5826465,8,멋진헛간,"오대천왕 (정형돈, 밴드 혁오)",록/메탈
20,21,2015,5760115,8,IF YOU,BIGBANG,포크/블루스
21,22,2015,5704397,8,이럴거면 그러지말지 (Feat. Young K),백아연,발라드
22,23,2015,5771304,8,Oasis (Feat. ZICO),Crush,R&B/Soul
23,24,2015,5760116,8,맨정신,BIGBANG,록/메탈
24,25,2015,5826447,8,겁 (Feat. 태양),MINO (송민호),랩/힙합
25,26,2015,5768980,8,PARTY,소녀시대 (GIRLS` GENERATION),댄스
26,27,2015,5811228,8,moneyflow (다 비켜봐),MINO (송민호),랩/힙합
27,28,2015,5826464,8,I`m So Sexy,"댄싱게놈 (유재석, JYP)",댄스
28,29,2015,5684826,8,BAE BAE,BIGBANG,랩/힙합
29,30,2015,5804038,8,"19금 MY ZONE (Feat. 산이, 버벌진트)",블랙넛 (Black Nut),랩/힙합
30,31,2015,5822923,8,가슴 뛰도록,SG 워너비,발라드
31,32,2015,5767424,8,링마벨 (Ring My Bell),걸스데이,댄스
32,33,2015,5791706,8,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND),댄스
33,34,2015,5795006,8,예뻐서 (Feat. 루이 Of 긱스) (You`re beautiful),유승우,"발라드, 인디음악"
34,35,2015,5793206,8,"아끼지마 (Don`t Be Shy) (Feat. 초아 (AOA), 아이언)",프라이머리,R&B/Soul
35,36,2015,5785424,8,일하러 가야 돼,비스트,댄스
36,37,2015,5818487,8,19금 ON IT + BO$$,릴보이 (Lil Boi),랩/힙합
37,38,2015,5794996,8,예이 (YeY),비스트,댄스
38,39,2015,5700639,8,마음,아이유,포크/블루스
39,40,2015,5682700,8,LOSER,BIGBANG,랩/힙합
40,41,2015,5668985,8,그 남잔 말야,엠씨더맥스,"발라드, 국내드라마"
41,42,2015,5765885,8,사랑할수록 (화생방실 클레오파트라),김연우,발라드
42,43,2015,5826463,8,My Life (Feat. 효린 Of 씨스타),"상주나 (정준하, 윤상)",일렉트로니카
43,44,2015,5779688,8,주마등 (Feat. 우혜미),리쌍,랩/힙합
44,45,2015,5713425,8,Hooka,혁오 (HYUKOH),"인디음악, 록/메탈"
45,46,2015,4857981,8,Sugar,Maroon 5,"POP, 록/메탈"
46,47,2015,5719287,8,WE LIKE 2 PARTY,BIGBANG,랩/힙합
47,48,2015,5650996,8,우연히 봄,로꼬,"발라드, 랩/힙합, 국내드라마"
48,49,2015,5820368,8,Lion Heart,소녀시대 (GIRLS` GENERATION),댄스
49,50,2015,5572312,8,그냥 (Just),Zion.T,R&B/Soul
50,51,2015,5708013,8,19금 몸매 (MOMMAE) (Feat. Ugly Duck),박재범,랩/힙합
51,52,2015,5826448,8,19금 내가 할 수 있는 건 (Feat. 제시),블랙넛 (Black Nut),랩/힙합
52,53,2015,5785421,8,나를 슬프게 하는 사람들 (노래왕 퉁키),J.Lee,록/메탈
53,54,2015,5459268,8,Uptown Funk (Feat. Bruno Mars),Mark Ronson,POP
54,55,2015,5822925,8,좋은 기억,SG 워너비,발라드
55,56,2015,5765888,8,가질 수 없는 너 (화생방실 클레오파트라) (Bonus Track),김연우,발라드
56,57,2015,5797100,8,AWESOME (Feat. 박재범 & GRAY),로꼬,랩/힙합
57,58,2015,5674119,8,Me You (Feat. 백예린 Of 15&),San E,랩/힙합
58,59,2015,5765887,8,만약에 말야 (화생방실 클레오파트라) (Bonus Track),김연우,발라드
59,60,2015,5731941,8,아프다,지코 (ZICO),"발라드, 랩/힙합, 국내드라마"
60,61,2015,5777833,8,RESPECT (Feat. GRAY & DJ Pumkin),로꼬,랩/힙합
61,62,2015,5576417,8,같은 시간 속의 너,나얼,R&B/Soul
62,63,2015,5767582,8,Bad,인피니트,댄스
63,64,2015,5798282,8,My Number,치타 (CHEETAH),랩/힙합
64,65,2015,5721440,8,LOVE ME RIGHT,EXO,댄스
65,66,2015,5660040,8,아예 (Ah Yeah),EXID,댄스
66,67,2015,4681146,8,한여름밤의 꿀,San E,랩/힙합
67,68,2015,4660794,8,I`m Not The Only One,Sam Smith,POP
68,69,2015,5658708,8,어머님이 누구니 (Feat. 제시),박진영,댄스
69,70,2015,5818521,8,M.I.L.E. (Make It Look Easy),블랙넛 (Black Nut),랩/힙합
70,71,2015,5709750,8,사랑의 시작은 고백에서부터,김범수,"발라드, 국내드라마"
71,72,2015,5713423,8,큰새,혁오 (HYUKOH),"인디음악, 록/메탈"
72,73,2015,4646573,8,너의 의미 (Feat. 김창완),아이유,발라드
73,74,2015,4369827,8,금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드
74,75,2015,5748398,8,사랑.. 그 놈 (화생방실 클레오파트라),김연우,발라드
75,76,2015,5700879,8,View,SHINee (샤이니),댄스
76,77,2015,5756880,8,괜찮아요,비투비,발라드
77,78,2015,5804080,8,Married To The Music,SHINee (샤이니),댄스
78,79,2015,5628083,8,두사랑 (Feat. 매드클라운),다비치,발라드
79,80,2015,4800324,8,19금 100 (Feat. 천재노창),블랙넛 (Black Nut),"랩/힙합, 인디음악"
80,81,2015,5482064,8,바라보기,엠씨더맥스,"발라드, 국내드라마"
81,82,2015,3910821,8,바람기억,나얼,R&B/Soul
82,83,2015,5812956,8,사랑했다치자 (Feat. 릴보이),서인영,발라드
83,84,2015,5765886,8,이 밤이 지나면 (화생방실 클레오파트라) (Bonus Track),김연우,발라드
84,85,2015,5781707,8,New Thang,Redfoo,일렉트로니카
85,86,2015,5824767,8,잘나가서 그래 (Feat. 정일훈 Of BTOB),현아,댄스
86,87,2015,4836118,8,Best Mistake (Feat. Big Sean),Ariana Grande,POP
87,88,2015,5779813,8,My Last (Feat. 로꼬 & GRAY),박재범,랩/힙합
88,89,2015,5634219,8,19금 Puss (Prod.by 라이머),지민 (AOA),랩/힙합
89,90,2015,5644620,8,CALL ME BABY,EXO,댄스
90,91,2015,5704765,8,동네술집,허각,발라드
91,92,2015,5787474,8,심상치 않아 (Feat. 주영),키썸 (Kisum),랩/힙합
92,93,2015,5385973,8,Ohio,혁오 (HYUKOH),"인디음악, 록/메탈"
93,94,2015,5629186,8,사월의 눈,허각,발라드
94,95,2015,4743560,8,Lost Stars,Adam Levine,"POP, 록/메탈, 국외영화"
95,96,2015,5807347,8,Sweet Girl,B1A4,댄스
96,97,2015,5775671,8,너를 사랑한 시간,정승환,"발라드, 국내드라마"
97,98,2015,5644636,8,다른 남자 말고 너,미쓰에이,댄스
98,99,2015,5742255,8,느껴 (My Everything),범키,R&B/Soul
99,100,2015,5781346,8,Devil,SUPER JUNIOR (슈퍼주니어),댄스
