,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2018,30989550,4,바코드 (Prod. GroovyRoom),김하온 (HAON)빈첸 (VINXEN),랩/힙합
1,2,2018,30699142,4,지나오다,닐로(Nilo),발라드
2,3,2018,30948698,4,꽃 길,BIGBANG,R&B/Soul
3,4,2018,30937275,4,별이 빛나는 밤,마마무(Mamamoo),댄스
4,5,2018,30859584,4,사랑을 했다 (LOVE SCENARIO),iKON,랩/힙합
5,6,2018,30849733,4,You,멜로망스,발라드
6,7,2018,31006730,4,What is Love?,TWICE (트와이스),댄스
7,8,2018,30997649,4,EVERYDAY,WINNER,랩/힙합
8,9,2018,30816860,4,뿜뿜,모모랜드 (MOMOLAND),댄스
9,10,2018,30755375,4,그날처럼,장덕철,발라드
10,11,2018,30721801,4,My Way,이수 (엠씨 더 맥스),"발라드, 국내드라마"
11,12,2018,30957524,4,북 (Prod. SLO),Rohann (이로한)오담률 (CHIN CHILLA),랩/힙합
12,13,2018,30884950,4,그때 헤어지면 돼,로이킴,발라드
13,14,2018,30939452,4,Jenga (Feat. Gaeko),헤이즈 (Heize),랩/힙합
14,15,2018,8111603,4,HandClap,Fitz & The Tantrums,POP
15,16,2018,31019584,4,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),랩/힙합
16,17,2018,30974156,4,어린 왕자 (Prod. Godic),김하온 (HAON)박준호 (PULLIK),랩/힙합
17,18,2018,30844118,4,Roller Coaster,청하,댄스
18,19,2018,30514366,4,선물,멜로망스,"발라드, 인디음악"
19,20,2018,30970444,4,소나기 (Feat. 10cm),용준형,발라드
20,21,2018,31035061,4,주지마,로꼬화사(Hwa Sa),발라드
21,22,2018,30567963,4,Havana (Feat. Young Thug),Camila Cabello,POP
22,23,2018,30960341,4,BOOMERANG (부메랑),Wanna One (워너원),댄스
23,24,2018,30864993,4,Bad Boy,Red Velvet (레드벨벳),댄스
24,25,2018,30086173,4,비행운,문문 (MoonMoon),"인디음악, 록/메탈"
25,26,2018,30637776,4,이 별,길구봉구,발라드
26,27,2018,30669593,4,가을 안부,먼데이 키즈 (Monday Kiz),발라드
27,28,2018,30974158,4,"Like It (Feat. 행주, 보이비)",Rohann (이로한)ASH ISLAND,랩/힙합
28,29,2018,30659630,4,밤이 되니까,펀치 (Punch),R&B/Soul
29,30,2018,30806580,4,instagram,DEAN,R&B/Soul
30,31,2018,30877002,4,눈사람,정승환,발라드
31,32,2018,30930312,4,약속해요 (I.P.U.),Wanna One (워너원),댄스
32,33,2018,30939454,4,내가 더 나빠,헤이즈 (Heize),R&B/Soul
33,34,2018,31019586,4,전혀 (Feat. 우원재) (Prod. GroovyRoom),빈첸 (VINXEN),랩/힙합
34,35,2018,31004548,4,19금 탓 (Prod. BOYCOLD),빈첸 (VINXEN),랩/힙합
35,36,2018,30781481,4,Heart Shaker,TWICE (트와이스),댄스
36,37,2018,30690674,4,눈 떠보니 이별이더라,포맨,발라드
37,38,2018,30486509,4,좋니,윤종신,발라드
38,39,2018,30188113,4,Shape of You,Ed Sheeran,POP
39,40,2018,30550388,4,all of my life,박원,발라드
40,41,2018,31009483,4,花요일 (Blooming Day),EXO-CBX (첸백시),댄스
41,42,2018,30829858,4,#첫사랑,볼빨간사춘기,"인디음악, 포크/블루스"
42,43,2018,30314784,4,밤편지,아이유,발라드
43,44,2018,9642570,4,넋두리,닐로(Nilo),발라드
44,45,2018,30725482,4,Beautiful,Wanna One (워너원),발라드
45,46,2018,30613202,4,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,랩/힙합
46,47,2018,30492279,4,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),R&B/Soul
47,48,2018,30637982,4,DNA,방탄소년단,랩/힙합
48,49,2018,30838076,4,주인공,선미,댄스
49,50,2018,31019585,4,"이로한 (Feat. ELO, Jessi) (Prod. Padi)",Rohann (이로한),랩/힙합
50,51,2018,30568338,4,에너제틱 (Energetic),Wanna One (워너원),댄스
51,52,2018,30962526,4,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
52,53,2018,30700708,4,LIKEY,TWICE (트와이스),댄스
53,54,2018,30672529,4,그리워하다,비투비,발라드
54,55,2018,30244931,4,봄날,방탄소년단,랩/힙합
55,56,2018,30512671,4,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),댄스
56,57,2018,30689468,4,결혼,문문 (MoonMoon),"발라드, 국내드라마"
57,58,2018,30341745,4,REALLY REALLY,WINNER,댄스
58,59,2018,3753304,4,벚꽃 엔딩,버스커 버스커,록/메탈
59,60,2018,30809895,4,미안해,양다일,R&B/Soul
60,61,2018,30657307,4,썸 탈꺼야,볼빨간사춘기,"인디음악, 포크/블루스"
61,62,2018,30667988,4,짙어져,멜로망스,"록/메탈, 국내드라마"
62,63,2018,30380953,4,There`s Nothing Holdin` Me Back,Shawn Mendes,POP
63,64,2018,30099927,4,노력,박원,발라드
64,65,2018,30393293,4,Thunder,Imagine Dragons,"POP, 록/메탈"
65,66,2018,31004550,4,Adios (Prod. BOYCOLD),김하온 (HAON),랩/힙합
66,67,2018,30757693,4,기억의 빈자리,나얼,R&B/Soul
67,68,2018,4383833,4,바람이 불었으면 좋겠어,길구봉구,발라드
68,69,2018,30190630,4,첫눈처럼 너에게 가겠다,에일리,"발라드, 국내드라마"
69,70,2018,30989546,4,"Young Wave (Feat. 행주, 보이비)",오담률 (CHIN CHILLA),랩/힙합
70,71,2018,30481578,4,마지막처럼,BLACKPINK,댄스
71,72,2018,30729198,4,좋아,민서윤종신,발라드
72,73,2018,30889749,4,애쓰지 마요,박보람,발라드
73,74,2018,4579468,4,봄 사랑 벚꽃 말고,HIGH4 (하이포)아이유,발라드
74,75,2018,30753213,4,바보야,허각,발라드
75,76,2018,30736437,4,피카부 (Peek-A-Boo),Red Velvet (레드벨벳),댄스
76,77,2018,30806536,4,Universe,EXO,발라드
77,78,2018,30939453,4,괜찮냐고,헤이즈 (Heize),R&B/Soul
78,79,2018,8124417,4,봄이 좋냐??,10cm,"인디음악, 포크/블루스"
79,80,2018,30709103,4,"그때의 나, 그때의 우리",어반자카파,R&B/Soul
80,81,2018,30960340,4,GOLD,Wanna One (워너원),댄스
81,82,2018,30960344,4,너의 이름을,Wanna One (워너원),발라드
82,83,2018,8287788,4,Closer (Feat. Halsey),The Chainsmokers,"일렉트로니카, EDM"
83,84,2018,30997650,4,AIR,WINNER,댄스
84,85,2018,30833270,4,답장,김동률,발라드
85,86,2018,30637988,4,고민보다 Go,방탄소년단,랩/힙합
86,87,2018,30851703,4,다른사람을 사랑하고 있어,수지 (SUZY),발라드
87,88,2018,30657311,4,나의 사춘기에게,볼빨간사춘기,"인디음악, 포크/블루스"
88,89,2018,30662444,4,Stand By Your Man (JTBC 드라마 밥 잘 사주는 예쁜 누나 삽입곡),Carla Bruni,POP
89,90,2018,30960343,4,보여,Wanna One (워너원),댄스
90,91,2018,30587846,4,가시나,선미,댄스
91,92,2018,30990167,4,내일해,EXID,댄스
92,93,2018,30960345,4,약속해요 (고백 Ver.),Wanna One (워너원),발라드
93,94,2018,30951305,4,나타나줘 (Feat. 박재범),로꼬,랩/힙합
94,95,2018,30859636,4,너 없는 시간들,다비치,발라드
95,96,2018,30688500,4,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),랩/힙합
96,97,2018,31009487,4,Playdate,EXO-CBX (첸백시),댄스
97,98,2018,30383758,4,Lonely (Feat. 태연),종현 (JONGHYUN),R&B/Soul
98,99,2018,30529996,4,Ko Ko Bop,EXO,댄스
99,100,2018,31046548,4,욕심,멜로망스,"발라드, 인디음악"
