,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2015,5748499,7,SHAKE IT,씨스타,댄스
1,2,2015,5713422,7,와리가리,혁오 (HYUKOH),"인디음악, 록/메탈"
2,3,2015,5760115,7,IF YOU,BIGBANG,포크/블루스
3,4,2015,5748406,7,심쿵해 (Heart Attack),AOA,댄스
4,5,2015,5385974,7,위잉위잉,혁오 (HYUKOH),"인디음악, 록/메탈"
5,6,2015,5760116,7,맨정신,BIGBANG,록/메탈
6,7,2015,5719286,7,뱅뱅뱅 (BANG BANG BANG),BIGBANG,랩/힙합
7,8,2015,5704397,7,이럴거면 그러지말지 (Feat. Young K),백아연,발라드
8,9,2015,5768980,7,PARTY,소녀시대 (GIRLS` GENERATION),댄스
9,10,2015,5743804,7,음오아예 (Um Oh Ah Yeh),마마무(Mamamoo),댄스
10,11,2015,5771304,7,Oasis (Feat. ZICO),Crush,R&B/Soul
11,12,2015,5767424,7,링마벨 (Ring My Bell),걸스데이,댄스
12,13,2015,5702706,7,꺼내 먹어요,Zion.T,R&B/Soul
13,14,2015,5389475,7,양화대교,Zion.T,R&B/Soul
14,15,2015,5684826,7,BAE BAE,BIGBANG,랩/힙합
15,16,2015,5713425,7,Hooka,혁오 (HYUKOH),"인디음악, 록/메탈"
16,17,2015,5700639,7,마음,아이유,포크/블루스
17,18,2015,5781104,7,Remember,Apink (에이핑크),댄스
18,19,2015,5682700,7,LOSER,BIGBANG,랩/힙합
19,20,2015,5719287,7,WE LIKE 2 PARTY,BIGBANG,랩/힙합
20,21,2015,5668985,7,그 남잔 말야,엠씨더맥스,"발라드, 국내드라마"
21,22,2015,5779688,7,주마등 (Feat. 우혜미),리쌍,랩/힙합
22,23,2015,5650996,7,우연히 봄,로꼬,"발라드, 랩/힙합, 국내드라마"
23,24,2015,5721440,7,LOVE ME RIGHT,EXO,댄스
24,25,2015,5765885,7,사랑할수록 (화생방실 클레오파트라),김연우,발라드
25,26,2015,4857981,7,Sugar,Maroon 5,"POP, 록/메탈"
26,27,2015,5674119,7,Me You (Feat. 백예린 Of 15&),San E,랩/힙합
27,28,2015,5742255,7,느껴 (My Everything),범키,R&B/Soul
28,29,2015,5756880,7,괜찮아요,비투비,발라드
29,30,2015,5709750,7,사랑의 시작은 고백에서부터,김범수,"발라드, 국내드라마"
30,31,2015,5572312,7,그냥 (Just),Zion.T,R&B/Soul
31,32,2015,5748398,7,사랑.. 그 놈 (화생방실 클레오파트라),김연우,발라드
32,33,2015,5660040,7,아예 (Ah Yeah),EXID,댄스
33,34,2015,5731941,7,아프다,지코 (ZICO),"발라드, 랩/힙합, 국내드라마"
