,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2015,5719286,6,뱅뱅뱅 (BANG BANG BANG),BIGBANG,랩/힙합
1,2,2015,5704397,6,이럴거면 그러지말지 (Feat. Young K),백아연,발라드
2,3,2015,5719287,6,WE LIKE 2 PARTY,BIGBANG,랩/힙합
3,4,2015,5682700,6,LOSER,BIGBANG,랩/힙합
4,5,2015,5700639,6,마음,아이유,포크/블루스
5,6,2015,5721440,6,LOVE ME RIGHT,EXO,댄스
6,7,2015,5702706,6,꺼내 먹어요,Zion.T,R&B/Soul
7,8,2015,5684826,6,BAE BAE,BIGBANG,랩/힙합
8,9,2015,5650996,6,우연히 봄,로꼬유주 (여자친구),"발라드, 랩/힙합, 국내드라마"
9,10,2015,5674119,6,Me You (Feat. 백예린 Of 15&),San E,랩/힙합
10,11,2015,5700879,6,View,SHINee (샤이니),댄스
11,12,2015,5668985,6,그 남잔 말야,엠씨더맥스,"발라드, 국내드라마"
12,13,2015,5717521,6,넌 나의 집,포맨,발라드
13,14,2015,5704765,6,동네술집,허각정인,발라드
14,15,2015,5731852,6,그리고 안녕,이승기,발라드
15,16,2015,5660040,6,아예 (Ah Yeah),EXID,댄스
16,17,2015,5748499,6,SHAKE IT,씨스타,댄스
17,18,2015,4857981,6,Sugar,Maroon 5,"POP, 록/메탈"
18,19,2015,5658708,6,어머님이 누구니 (Feat. 제시),박진영,댄스
19,20,2015,5721441,6,TENDER LOVE,EXO,댄스
20,21,2015,5674470,6,연예할래,박보람,댄스
21,22,2015,5644620,6,CALL ME BABY,EXO,댄스
22,23,2015,5709750,6,사랑의 시작은 고백에서부터,김범수,"발라드, 국내드라마"
23,24,2015,5644636,6,다른 남자 말고 너,미쓰에이,댄스
24,25,2015,5628083,6,두사랑 (Feat. 매드클라운),다비치,발라드
25,26,2015,5576417,6,같은 시간 속의 너,나얼,R&B/Soul
26,27,2015,5634219,6,19금 Puss (Prod.by 라이머),지민 (AOA)아이언,랩/힙합
27,28,2015,5459268,6,Uptown Funk (Feat. Bruno Mars),Mark Ronson,POP
28,29,2015,5748406,6,심쿵해 (Heart Attack),AOA,댄스
29,30,2015,5629186,6,사월의 눈,허각,발라드
30,31,2015,5725591,6,"마네퀸 (Feat. Beenzino, 수란)",프라이머리,R&B/Soul
31,32,2015,5678250,6,Reset (Feat. 진실 Of Mad Soul Child),타이거JK,"랩/힙합, 국내드라마"
32,33,2015,5690942,6,너의 얘길 들어줄게,윤미래,"R&B/Soul, 국내드라마"
33,34,2015,5743804,6,음오아예 (Um Oh Ah Yeh),마마무(Mamamoo),댄스
34,35,2015,5708013,6,19금 몸매 (MOMMAE) (Feat. Ugly Duck),박재범,랩/힙합
