,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2006,1177475,6,남자를 몰라,버즈,록/메탈
1,2,2006,1135163,6,사랑안해,백지영,발라드
2,3,2006,1193994,6,눈물샘,별,발라드
3,4,2006,1204915,6,Hold The Line,조pd (ZoPD),랩/힙합
4,5,2006,1139741,6,내사람 : Partner For Life,SG 워너비,R&B/Soul
5,6,2006,1213524,6,LOVE ALL,gavy nj project group [H7美人(미인)],발라드
6,7,2006,1194316,6,Once In A Lifetime,신화,발라드
7,8,2006,1119896,6,사랑하기 때문에 (Feat. SG워너비),씨야,발라드
8,9,2006,1177470,6,My Darling (End),버즈,록/메탈
9,10,2006,1114170,6,여인의 향기,씨야,발라드
10,11,2006,1173448,6,유추프라카치아,토니 안,발라드
11,12,2006,1199786,6,My Style,업타운,랩/힙합
12,13,2006,1144020,6,편지,김종국,발라드
13,14,2006,1177471,6,My Love (And),버즈,록/메탈
14,15,2006,1139742,6,사랑했어요 (Feat. 데니안),SG 워너비,R&B/Soul
15,16,2006,1130736,6,사랑아 가지마,임정희,R&B/Soul
16,17,2006,1177606,6,그대 돌아오면..,거미,R&B/Soul
17,18,2006,1190874,6,아무리 생각해도 난 너를,스윗소로우 (SWEET SORROW),"발라드, 국내드라마"
18,19,2006,1173404,6,아름다운 이별 Ⅱ (PSY Ver.),이재훈 (쿨),발라드
19,20,2006,1145088,6,다소,메이비 (Maybee),발라드
20,21,2006,1177472,6,은인,버즈,록/메탈
21,22,2006,1145943,6,느림보,SG 워너비,R&B/Soul
22,23,2006,1210836,6,U,SUPER JUNIOR (슈퍼주니어),댄스
23,24,2006,1204838,6,들리나요,정재욱,발라드
24,25,2006,1099596,6,입모양,이승기,발라드
25,26,2006,1205568,6,헤어져야 사랑을 알죠,리사,발라드
26,27,2006,1188514,6,하루 또 하루,신혜성,발라드
27,28,2006,1207275,6,믿을 수 없는 말,심태윤 (Stay),발라드
28,29,2006,1141600,6,폭풍,SG 워너비,R&B/Soul
29,30,2006,1147109,6,열 (Feat. Tablo),J.Lee,R&B/Soul
30,31,2006,1121540,6,누나의 꿈,현영,댄스
31,32,2006,1108584,6,전부 너였다,노을,발라드
32,33,2006,1197688,6,굳세어라 현정아,김현정,댄스
33,34,2006,1122105,6,웃는거야,서영은,발라드
34,35,2006,1144935,6,아름다운 이별,옥주현,발라드
35,36,2006,1206086,6,도망자,다이나믹 듀오,랩/힙합
36,37,2006,1099478,6,마주치지 말자,장혜진,발라드
37,38,2006,1125392,6,날 위한 이별,린,발라드
38,39,2006,1134895,6,V.I.P (Volume Instead Pause),바다 (BADA),댄스
39,40,2006,1115206,6,다가와서,브라운아이드걸스,R&B/Soul
40,41,2006,1144018,6,사랑한다는 말,김종국,발라드
41,42,2006,1205554,6,Goodbye,이브,록/메탈
42,43,2006,1199252,6,Scandal,강타 & 바네스,댄스
43,44,2006,1099594,6,하기 힘든 말,이승기,발라드
44,45,2006,1146394,6,비익조,SG 워너비,R&B/Soul
45,46,2006,1205780,6,한마디만...,이준기,발라드
46,47,2006,1143063,6,차라의 숲,러브홀릭,록/메탈
47,48,2006,1146735,6,Against All Odds (CF - 투싼 휘성 편),휘성 (Realslow),R&B/Soul
48,49,2006,1214988,6,우리 사랑하지만 (Feat. 지선),마이 앤트 메리,"발라드, 국내드라마"
49,50,2006,1216149,6,I Go,럼블피쉬,록/메탈
50,51,2006,1173854,6,위태로운 이야기,박정현,R&B/Soul
51,52,2006,1136334,6,상상 (영화 `청춘만화` 삽입곡),KYT (코요태),댄스
52,53,2006,1114171,6,구두,씨야,발라드
53,54,2006,1188515,6,사랑해요,김현성,발라드
54,55,2006,1173373,6,Addicted,Sweetbox,POP
55,56,2006,1146305,6,그런 사랑,란 (RAN),발라드
56,57,2006,1215673,6,Smile,May,발라드
57,58,2006,1216109,6,넋두리,하동균,발라드
58,59,2006,1097091,6,사랑 먼지,버블 시스터즈,R&B/Soul
59,60,2006,1199412,6,그리움도 안되겠죠,SE7EN,"발라드, 국내드라마"
60,61,2006,1114173,6,Promise U,씨야,발라드
61,62,2006,1204158,6,Reds Go Together,버즈,록/메탈
62,63,2006,1185418,6,못난이,청안,발라드
63,64,2006,1185401,6,봄 여름 가을... 겨울 (Feat. 김태우 God),수호,랩/힙합
64,65,2006,1142834,6,"Reds, Go Together",버즈,록/메탈
65,66,2006,1195384,6,안고 싶은데,제이피에스,발라드
66,67,2006,1205314,6,그래서...,타이푼,댄스
67,68,2006,1264220,6,불꽃 (Feat. 개리),장혜진,발라드
68,69,2006,1120765,6,So Sick,Ne-Yo,R&B/Soul
69,70,2006,1214990,6,그대만 있다면 (Drama Version),러브홀릭,"발라드, 국내드라마"
70,71,2006,1003080,6,앵무새,하울,발라드
71,72,2006,1209734,6,The First Time (Mordny K Mix) (Feat. 서인영),V.O.S,R&B/Soul
72,73,2006,1178406,6,그녀...웃었다,투샤이,발라드
73,74,2006,1177939,6,잊을래,소울스타 (SOULSTAR),R&B/Soul
74,75,2006,982379,6,Perfect Love ( CF - 이자녹스 제시카 알바편 ),Lutricia Mcneal,R&B/Soul
75,76,2006,1205352,6,눈물송 - Thank You,손예진,-
76,77,2006,1125314,6,Miracle,엠투엠 (M To M),"발라드, 국내드라마"
77,78,2006,1147154,6,너의 모습 - 이별은 (Drama Ver.),한글,-
78,79,2006,1145759,6,FREE We Are The One,싸이 (PSY),-
79,80,2006,1194319,6,Highway Star (Feat. IVY),신화,댄스
80,81,2006,1193995,6,괜찮은 오늘 (Feat. MC 몽),별,발라드
81,82,2006,1144213,6,Stupid Girls,Pink,POP
82,83,2006,1123711,6,난 알아요 (Feat. Teddy),SE7EN,R&B/Soul
83,84,2006,1177480,6,우리 이별 앞에 지지말아요 (세상에 한 사람),버즈,록/메탈
84,85,2006,1264830,6,그녀를 사랑해줘요,하동균,발라드
85,86,2006,1177473,6,약자의 눈물,버즈,록/메탈
86,87,2006,1198320,6,재촉하세요,이안,발라드
87,88,2006,1174158,6,누구를 위한 삶인가,리쌍,국내영화
88,89,2006,933582,6,19금 Don`t Cha (CF - SKY 와이드 PMP폰 클럽편),Pussycat Dolls,POP
89,90,2006,1208749,6,거울,YDG,국내영화
90,91,2006,1208899,6,Promise,박완규,록/메탈
91,92,2006,1146308,6,멍하니,란 (RAN),발라드
92,93,2006,1033126,6,가만히 눈을 감고 (CF - 교토 다원녹차),정재욱,발라드
93,94,2006,1114262,6,어떡하라고 (Feat. 바이브(윤민수)),노블레스,랩/힙합
94,95,2006,1199413,6,너의 가슴으로 가는 길,먼데이 키즈 (Monday Kiz),"발라드, 국내드라마"
95,96,2006,985472,6,Happiness,가비엔제이,R&B/Soul
96,97,2006,1090580,6,남과 여 (Feat.김범수),박선주 (Pak Sun Zoo),발라드
97,98,2006,1186483,6,차차차,현영,댄스
