,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2018,31035061,5,주지마,로꼬화사(Hwa Sa),발라드
1,2,2018,30699142,5,지나오다,닐로(Nilo),발라드
2,3,2018,30849733,5,You,멜로망스,발라드
3,4,2018,31006730,5,What is Love?,TWICE (트와이스),댄스
4,5,2018,31052421,5,밤 (Time for the moon night),여자친구 (GFRIEND),댄스
5,6,2018,31019584,5,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),랩/힙합
6,7,2018,31056799,5,잊을만하면,Crush,R&B/Soul
7,8,2018,30859584,5,사랑을 했다 (LOVE SCENARIO),iKON,랩/힙합
8,9,2018,30937275,5,별이 빛나는 밤,마마무(Mamamoo),댄스
9,10,2018,30721801,5,My Way,이수 (엠씨 더 맥스),"발라드, 국내드라마"
10,11,2018,30816860,5,뿜뿜,모모랜드 (MOMOLAND),댄스
11,12,2018,30755375,5,그날처럼,장덕철,발라드
12,13,2018,31046548,5,욕심,멜로망스,"발라드, 인디음악"
13,14,2018,30948698,5,꽃 길,BIGBANG,R&B/Soul
14,15,2018,30989550,5,바코드 (Prod. GroovyRoom),김하온 (HAON)빈첸 (VINXEN),랩/힙합
15,16,2018,30997649,5,EVERYDAY,WINNER,랩/힙합
16,17,2018,30884950,5,그때 헤어지면 돼,로이킴,발라드
17,18,2018,31085237,5,FAKE LOVE,방탄소년단,랩/힙합
18,19,2018,30970444,5,소나기 (Feat. 10cm),용준형,발라드
19,20,2018,8111603,5,HandClap,Fitz & The Tantrums,POP
20,21,2018,30514366,5,선물,멜로망스,"발라드, 인디음악"
21,22,2018,30844118,5,Roller Coaster,청하,댄스
22,23,2018,30962526,5,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
23,24,2018,30567963,5,Havana (Feat. Young Thug),Camila Cabello,POP
24,25,2018,31093710,5,여행,볼빨간사춘기,"인디음악, 록/메탈"
25,26,2018,30957524,5,북 (Prod. SLO),Rohann (이로한)오담률 (CHIN CHILLA),랩/힙합
26,27,2018,9642570,5,넋두리,닐로(Nilo),발라드
27,28,2018,31009483,5,花요일 (Blooming Day),EXO-CBX (첸백시),댄스
28,29,2018,30669593,5,가을 안부,먼데이 키즈 (Monday Kiz),발라드
29,30,2018,30637982,5,DNA,방탄소년단,랩/힙합
30,31,2018,31019586,5,전혀 (Feat. 우원재) (Prod. GroovyRoom),빈첸 (VINXEN),랩/힙합
31,32,2018,30939452,5,Jenga (Feat. Gaeko),헤이즈 (Heize),랩/힙합
32,33,2018,30086173,5,비행운,문문 (MoonMoon),"인디음악, 록/메탈"
33,34,2018,30244931,5,봄날,방탄소년단,랩/힙합
34,35,2018,30637776,5,이 별,길구봉구,발라드
35,36,2018,30864993,5,Bad Boy,Red Velvet (레드벨벳),댄스
36,37,2018,30974156,5,어린 왕자 (Prod. Godic),김하온 (HAON)박준호 (PULLIK),랩/힙합
37,38,2018,30960341,5,BOOMERANG (부메랑),Wanna One (워너원),댄스
38,39,2018,30188113,5,Shape of You,Ed Sheeran,POP
