,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2001,19091,6,미안해요,김건모,발라드
1,2,2001,18357,6,좋은 사람 (Feat. 김형중),토이,발라드
2,3,2001,8290,6,처음처럼,성시경,발라드
3,4,2001,78002,6,하나의 사랑,박상민,발라드
4,5,2001,90434,6,사랑하니까,문차일드,록/메탈
5,6,2001,104868,6,아름다운 날들,장혜진,발라드
6,7,2001,53615,6,사랑일뿐야,김민우,발라드
7,8,2001,33026,6,Good Life,드렁큰 타이거,랩/힙합
8,9,2001,7712,6,당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),발라드
9,10,2001,8305,6,편지 (Original Ver.),최재훈,발라드
10,11,2001,85108,6,바보,박효신,"발라드, 댄스, R&B/Soul"
11,12,2001,526821,6,결혼해줘,임창정,발라드
12,13,2001,62176,6,끝,싸이 (PSY),랩/힙합
13,14,2001,6855,6,I` ll Be There,이브,록/메탈
14,15,2001,8274,6,Je T`aime,해이,발라드
15,16,2001,10837,6,동경,박효신,발라드
16,17,2001,10398,6,하루,김범수,발라드
17,18,2001,19571,6,축복,강성훈,발라드
18,19,2001,89900,6,Get Away,A-TOM,댄스
19,20,2001,7180,6,Heaven,이정현,-
20,21,2001,19175,6,고백,이승철,댄스
21,22,2001,7650,6,백전무패 (百戰無敗),클릭비 (Click-B),댄스
22,23,2001,1213165,6,Special Night,양파,발라드
23,24,2001,20226,6,난 여자가 있는데 (CF - 컴팩 프리자리오),박진영,댄스
24,25,2001,1564069,6,스치듯 안녕,이수영,발라드
25,26,2001,90784,6,백일기도,샵,댄스
26,27,2001,20885,6,Game Over,베이비 복스 1기,댄스
27,28,2001,3526118,6,마지막 시간,박정현,R&B/Soul
28,29,2001,83437,6,여전히 아름다운지,김연우,발라드
29,30,2001,2530,6,첨이야,홍경민,댄스
30,31,2001,7148,6,환상속의 그대,서태지,록/메탈
31,32,2001,8921,6,오빠,왁스,댄스
32,33,2001,472461,6,Murmur,은지원,랩/힙합
33,34,2001,20951,6,Crying,플라워,록/메탈
34,35,2001,2696148,6,그대만의 나이길 (Feat. 김연우),내추럴 플러스,발라드
35,36,2001,19776,6,추락,백지영,댄스
36,37,2001,20966,6,비(悲),엔알지 (NRG),발라드
37,38,2001,5119,6,Oh! My Boy,샤크라,댄스
38,39,2001,1698077,6,기억이란 사랑보다,이문세,발라드
39,40,2001,10626,6,Love,김조한,R&B/Soul
40,41,2001,10838,6,먼곳에서,박효신,발라드
41,42,2001,21360,6,밤이 깊었네,크라잉넛 (CRYING NUT),"인디음악, 록/메탈"
42,43,2001,68576,6,나의 노래,이현우,록/메탈
43,44,2001,89810,6,재회,포지션,발라드
44,45,2001,9529,6,너에게 주고 싶은 세 가지,박혜경,록/메탈
45,46,2001,19807,6,벌써 일년,브라운 아이즈,R&B/Soul
46,47,2001,5112,6,끝 (End),샤크라,댄스
47,48,2001,9422,6,난 남자다,김장훈,발라드
48,49,2001,3680,6,너를 위해,임재범,발라드
49,50,2001,2528,6,가져가,홍경민,댄스
50,51,2001,105807,6,잘가,더 자두,댄스
51,52,2001,1606519,6,Love Is (Dance Mega Mix Ver.),터보,댄스
52,53,2001,10580,6,괜찮아요,조관우,발라드
53,54,2001,6763,6,No. 1,Various Artists,랩/힙합
54,55,2001,90478,6,바람난 남자,스페이스 에이,댄스
55,56,2001,17243,6,Piano Girl,노영심,뉴에이지
56,57,2001,2696149,6,그녀의 집앞에서 (Feat. 양해중),내추럴 플러스,발라드
57,58,2001,27600,6,기도,정일영,"발라드, 국내드라마"
58,59,2001,8921,6,오빠,왁스,댄스
59,60,2001,17688,6,행복 (Full Of Happiness) - With Fan (강타 Special),H.O.T.,댄스
60,61,2001,1614454,6,Intro (Music Part.1),업타운,랩/힙합
61,62,2001,2940,6,Be Natural,S.E.S.,댄스
62,63,2001,90105,6,A-Yo,지누션,랩/힙합
63,64,2001,11027,6,Maybe God Knows,플라이 투 더 스카이,R&B/Soul
64,65,2001,21746,6,빛,제이,R&B/Soul
65,66,2001,3743,6,그런일은,화요비,R&B/Soul
66,67,2001,106314,6,그런 사람 또 없습니다,황수정,-
67,68,2001,2181828,6,그런 사람 또 없습니다,황수정,-
