,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2000,38426,6,멍,김현정,댄스
1,2,2000,505165,6,You,DJ DOC,"댄스, 랩/힙합"
2,3,2000,3824,6,어제처럼,제이,R&B/Soul
3,4,2000,27232,6,해석남녀,쿨 (COOL),댄스
4,5,2000,91329,6,Love,원타임,랩/힙합
5,6,2000,38557,6,아픔,김민종,발라드
6,7,2000,91331,6,One,신화,댄스
7,8,2000,1140592,6,Tears,소찬휘,댄스
8,9,2000,3680,6,위해,임재범,발라드
9,10,2000,85108,6,바보,박효신,"발라드, 댄스, R&B/Soul"
10,11,2000,610483,6,너는,이현우,발라드
11,12,2000,79621,6,Why,베이비 복스 1기,댄스
12,13,2000,445159,6,그대를,이승환,발라드
13,14,2000,91326,6,Night,god,댄스
14,15,2000,62250,6,Bye...,젝스키스,발라드
15,16,2000,3676,6,Sentiment,비쥬,R&B/Soul
16,17,2000,82594,6,Sky,박기영,록/메탈
17,18,2000,87596,6,편지,채정안,댄스
18,19,2000,4067,6,아가페,이브,록/메탈
19,20,2000,91327,6,윤진),클론,댄스
20,21,2000,26837,6,U,샤크라,댄스
21,22,2000,86981,6,엄마야,신승훈,댄스
22,23,2000,87307,6,Dash,백지영,댄스
23,24,2000,88423,6,Love,윤현석,발라드
24,25,2000,75233,6,Rhapsody,최재훈,록/메탈
25,26,2000,91014,6,걸어,박혜경,록/메탈
26,27,2000,87310,6,Salsa,백지영,댄스
27,28,2000,87170,6,윤진),클론,댄스
28,29,2000,91021,6,너,이정현,댄스
29,30,2000,2222185,6,(悲忍),윤손하,발라드
30,31,2000,4077,6,가니,컨츄리 꼬꼬,댄스
31,32,2000,86669,6,우리,임창정,발라드
32,33,2000,1175789,6,Life,윤상,발라드
33,34,2000,37756,6,그대도...내게도...,에코,발라드
34,35,2000,610605,6,(送人),조수미,국내드라마
35,36,2000,1576735,6,Ver.),조규만,발라드
36,37,2000,87019,6,Annie,윤종신,발라드
37,38,2000,85257,6,바꿔,이정현,댄스
38,39,2000,86132,6,애인,허쉬,댄스
39,40,2000,91318,6,Day,애즈원,R&B/Soul
40,41,2000,87022,6,잘했어요,윤종신,발라드
41,42,2000,86854,6,Man,주영훈,댄스
42,43,2000,87039,6,You......),이지훈,발라드
43,44,2000,34093,6,끝,김태영,발라드
44,45,2000,86980,6,가잖아,신승훈,발라드
45,46,2000,75203,6,"타샤니,진원)",이현도,랩/힙합
46,47,2000,91322,6,보내고,YB,록/메탈
47,48,2000,1606633,6,Tonight,터보,발라드
48,49,2000,37148,6,풍변기곡(風變旗曲),룰라,댄스
49,50,2000,86168,6,Sky,플라이 투 더 스카이,R&B/Soul
50,51,2000,86336,6,나예요...,이소은,발라드
51,52,2000,104507,6,처음,DJ Wreckx,랩/힙합
52,53,2000,38211,6,앞에서,김태영,댄스
53,54,2000,88429,6,(하늘에서),임창정,발라드
54,55,2000,37516,6,(Fetticcini),드렁큰 타이거,랩/힙합
55,56,2000,86857,6,연가,주영훈,발라드
56,57,2000,88501,6,Farewell,이주노,"발라드, 랩/힙합"
57,58,2000,32497,6,안갔어!,량현량하,댄스
58,59,2000,8472,6,Champ,긱스,록/메탈
59,60,2000,1564058,6,Love,이수영,발라드
60,61,2000,494157,6,알아요,양파,발라드
61,62,2000,4050182,6,Cross,엄정화,댄스
62,63,2000,2962362,6,Vision,유승준,댄스
