,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2013,4294284,11,내일은 없어,트러블메이커,댄스
1,2,2013,4302973,11,해볼라고,형용돈죵 (정형돈 & G-DRAGON),댄스
2,3,2013,4300699,11,너에게,성시경,"발라드, 국내드라마"
3,4,2013,4282710,11,미스터리 (Feat. San E),박지윤,댄스
4,5,2013,4296990,11,눈물이 맘을 훔쳐서,에일리,"발라드, 국내드라마"
5,6,2013,4302975,11,I Got C (Feat. 개코 Of 다이나믹 듀오),거머리 (박명수 & 프라이머리),댄스
6,7,2013,4302974,11,Please Don`t Go My Girl (Feat. 김조한),하우두유둘 (유재석 & 유희열),R&B/Soul
7,8,2013,4282578,11,촌스럽게 왜 이래 (You Don`t Know Love),케이윌,발라드
8,9,2013,4268435,11,분홍신,아이유,댄스
9,10,2013,4308010,11,Hush,미쓰에이,댄스
10,11,2013,4307957,11,"어디서 잤어 (Feat. 버벌진트, 스윙스)",San E,랩/힙합
11,12,2013,4302976,11,오빠라고 불러다오,장미하관 (노홍철 & 장미여관),록/메탈
12,13,2013,4252728,11,처음엔 사랑이란게,버스커 버스커,록/메탈
13,14,2013,4237755,11,착해 빠졌어 (Stupid In Love),소유 (SOYOU),랩/힙합
14,15,2013,4249547,11,나란놈이란,임창정,발라드
15,16,2013,4298535,11,Always be there,브라운 아이드 소울,발라드
16,17,2013,4309790,11,편지,다비치,발라드
17,18,2013,4232200,11,삐딱하게 (Crooked),G-DRAGON,랩/힙합
18,19,2013,4289386,11,Moment,이창민,"발라드, 국내드라마"
19,20,2013,4271833,11,넘버나인 (No.9),티아라,댄스
20,21,2013,4300927,11,링가 링가 (RINGA LINGA),태양,랩/힙합
21,22,2013,4314704,11,It`s You,박효신,"발라드, 국내드라마"
22,23,2013,4302972,11,"사라질것들 (Feat. 이소라, Beenzino)",병살 (정준하 & 김C),일렉트로니카
23,24,2013,4221128,11,Touch Love,윤미래,"발라드, R&B/Soul, 국내드라마"
24,25,2013,4252726,11,잘할 걸,버스커 버스커,록/메탈
25,26,2013,4317286,11,밤이 오는 거리 (Feat. 다이나믹듀오),노을,발라드
26,27,2013,4271854,11,이별 10분 전,정준영,록/메탈
27,28,2013,4230002,11,예뻐 예뻐,레이디스 코드,댄스
28,29,2013,4302979,11,"그래, 우리 함께",무한도전,발라드
29,30,2013,4193337,11,으르렁 (Growl),EXO,댄스
30,31,2013,4312933,11,향기만 남아,허각,발라드
31,32,2013,4262252,11,Very Good,블락비 (Block B),댄스
32,33,2013,4252727,11,사랑은 타이밍,버스커 버스커,록/메탈
33,34,2013,4302978,11,G.A.B,G.A.B (길 & BoA),댄스
34,35,2013,4312955,11,거짓말 거짓말 거짓말,이적,발라드
35,36,2013,4302977,11,슈퍼잡초맨,세븐티핑거스 (하하 & 장기하와 얼굴들),록/메탈
36,37,2013,3953196,11,만약에 말야 (전우성 Solo),노을,발라드
37,38,2013,3726617,11,자니 (Feat. Dynamic Duo),프라이머리,랩/힙합
38,39,2013,4192787,11,아는사람 얘기,San E,랩/힙합
39,40,2013,4320843,11,DOOM DADA,T.O.P,랩/힙합
40,41,2013,4287434,11,거꾸로 걷는다,어반자카파,발라드
41,42,2013,4262132,11,불치병 (Feat. 키비 Of 이루펀트),나비,국내드라마
42,43,2013,4226211,11,니가 뭔데 (Who You?),G-DRAGON,랩/힙합
43,44,2013,4092360,11,봉숙이,장미여관,"인디음악, 포크/블루스"
44,45,2013,4282611,11,서울 이곳은,로이킴,"포크/블루스, 국내드라마"
45,46,2013,3893169,11,홀로 (Feat. 김나영),정키,발라드
46,47,2013,4274230,11,Everybody,SHINee (샤이니),댄스
47,48,2013,4294468,11,가시사랑,포맨,"발라드, R&B/Soul, 국내드라마"
48,49,2013,4205993,11,갖고놀래 (Feat. 다이나믹 듀오),범키,R&B/Soul
49,50,2013,4268433,11,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls),아이유,댄스
