,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2014,4681146,7,한여름밤의 꿀,San E,랩/힙합
1,2,2014,4671151,7,"눈, 코, 입",태양,R&B/Soul
2,3,2014,4706174,7,오늘부터 1일 (Day 1),케이윌,발라드
3,4,2014,4711065,7,우산,윤하 (YOUNHA),발라드
4,5,2014,4714217,7,하늘색 약속,god,발라드
5,6,2014,4693165,7,단발머리 (Short Hair),AOA,댄스
6,7,2014,4660909,7,사람냄새,정인,랩/힙합
7,8,2014,4688375,7,Maps,Maroon 5,록/메탈
8,9,2014,4723861,7,이제 그만 싸우자,허각,발라드
9,10,2014,4711007,7,애타는 마음,울랄라세션,댄스
10,11,2014,4665220,7,나 왜이래 (Feat. 강민희 Of 미스에스),San E,"랩/힙합, 국내드라마"
11,12,2014,4646573,7,너의 의미 (Feat. 김창완),아이유,발라드
12,13,2014,4686392,7,Good Luck,비스트,댄스
13,14,2014,4639518,7,너를 너를 너를,플라이 투 더 스카이,R&B/Soul
14,15,2014,4734486,7,Darling,걸스데이,댄스
15,16,2014,4721314,7,Red Light,f(x),댄스
16,17,2014,4734489,7,I`m In Love,에일리,발라드
17,18,2014,4674167,7,헤어졌다 만났다,다비치,댄스
18,19,2014,4749449,7,"명수네 떡볶이 (Feat. 김예림, UL)",박명수,댄스
19,20,2014,4645220,7,나의 옛날이야기,아이유,발라드
20,21,2014,4543502,7,야생화,박효신,발라드
21,22,2014,4691117,7,니가 빈 자리,신용재,발라드
22,23,2014,4633162,7,중독 (Overdose),EXO-K,댄스
23,24,2014,4603433,7,너를 원해 (Feat. Beenzino),정기고,R&B/Soul
24,25,2014,4433490,7,썸 (Feat. 릴보이 Of 긱스),소유 (SOYOU),R&B/Soul
25,26,2014,4562881,7,Mr. Chu (On Stage),Apink (에이핑크),댄스
26,27,2014,4579468,7,봄 사랑 벚꽃 말고,HIGH4 (하이포),발라드
27,28,2014,4722450,7,고백했는데,Bro,발라드
28,29,2014,4688674,7,Summer Time (자리비움),다이나믹 듀오,랩/힙합
29,30,2014,4635740,7,Good-night Kiss,전효성,댄스
30,31,2014,4729593,7,우리가 사는 이야기 (Feat. 메건리),god,발라드
31,32,2014,4756304,7,Touch My Body,씨스타,댄스
32,33,2014,4691278,7,Mr.애매모호,마마무(Mamamoo),R&B/Soul
33,34,2014,4369827,7,금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드
34,35,2014,4583482,7,200%,AKMU (악동뮤지션),포크/블루스
35,36,2014,4686952,7,집이 돼줄게,범키,R&B/Soul
36,37,2014,4666402,7,사랑하는 그대여,신용재,발라드
37,38,2014,4586092,7,너 사용법,에디킴,포크/블루스
38,39,2014,4677133,7,이젠 아니야,비스트,발라드
39,40,2014,4751624,7,"전화번호 (Feat. 버벌진트, 40)",스윙스,랩/힙합
40,41,2014,4635701,7,미운오리새끼,god,발라드
