,song_year,song_month,song_song_id,song_ranking,song_title,song_artist,song_genre
0,1,2013,4252728,10,처음엔 사랑이란게,버스커 버스커,록/메탈
1,2,2013,4268435,10,분홍신,아이유,댄스
2,3,2013,4237755,10,착해 빠졌어 (Stupid In Love),소유 (SOYOU),랩/힙합
3,4,2013,4252726,10,잘할 걸,버스커 버스커,록/메탈
4,5,2013,4249547,10,나란놈이란,임창정,발라드
5,6,2013,4252727,10,사랑은 타이밍,버스커 버스커,록/메탈
6,7,2013,4221128,10,Touch Love,윤미래,"발라드, R&B/Soul, 국내드라마"
7,8,2013,4232200,10,삐딱하게 (Crooked),G-DRAGON,랩/힙합
8,9,2013,4252729,10,시원한 여자,버스커 버스커,록/메탈
9,10,2013,4252730,10,그대 입술이 (With 채지연 - 풋풋),버스커 버스커,록/메탈
10,11,2013,4193337,10,으르렁 (Growl),EXO,댄스
11,12,2013,4226211,10,니가 뭔데 (Who You?),G-DRAGON,랩/힙합
12,13,2013,4268433,10,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls),아이유,댄스
13,14,2013,4252733,10,밤,버스커 버스커,록/메탈
14,15,2013,4262252,10,Very Good,블락비 (Block B),댄스
15,16,2013,4252731,10,줄리엣,버스커 버스커,록/메탈
16,17,2013,4252732,10,아름다운 나이,버스커 버스커,록/메탈
17,18,2013,4212782,10,미치게 만들어,효린,"발라드, 국내드라마"
18,19,2013,4247632,10,겁도 없이,서인국,"발라드, 국내드라마"
19,20,2013,4226210,10,Black (Feat. 제니 of BLACKPINK),G-DRAGON,랩/힙합
20,21,2013,4230002,10,예뻐 예뻐,레이디스 코드,댄스
21,22,2013,4192787,10,아는사람 얘기,San E,랩/힙합
22,23,2013,4282578,10,촌스럽게 왜 이래 (You Don`t Know Love),케이윌,발라드
23,24,2013,4264912,10,나를 사랑해줘 (Feat. 개코 Of 다이나믹 듀오),서인영,댄스
24,25,2013,4205993,10,갖고놀래 (Feat. 다이나믹 듀오),범키,R&B/Soul
25,26,2013,4268432,10,을의 연애 (With 박주원),아이유,록/메탈
26,27,2013,4163116,10,NoNoNo,Apink (에이핑크),댄스
27,28,2013,4271833,10,넘버나인 (No.9),티아라,댄스
28,29,2013,3953196,10,만약에 말야 (전우성 Solo),노을,발라드
29,30,2013,4268434,10,입술 사이 (50cm),아이유,록/메탈
30,31,2013,4260529,10,병이에요 (Spotless Mind),정준영,록/메탈
31,32,2013,4271854,10,이별 10분 전,정준영,록/메탈
32,33,2013,4212184,10,24시간이 모자라,선미,댄스
33,34,2013,4258695,10,희망고문,송지은,발라드
34,35,2013,4252725,10,가을밤,버스커 버스커,록/메탈
35,36,2013,4268436,10,Modern Times,아이유,록/메탈
36,37,2013,3726617,10,자니 (Feat. Dynamic Duo),프라이머리,랩/힙합
37,38,2013,4148967,10,빠빠빠,크레용팝,댄스
38,39,2013,4232054,10,사랑했었다면,지아,발라드
39,40,2013,4275833,10,살다가,김진호 (SG워너비),발라드
40,41,2013,4142913,10,My Love,이승철,발라드
41,42,2013,4171462,10,U & I,에일리,댄스
42,43,2013,4130922,10,미친연애 (Bad Girl) (Feat. E-Sens Of 슈프림팀),범키,R&B/Soul
43,44,2013,4268437,10,싫은 날,아이유,발라드
44,45,2013,3948908,10,"씨스루 (Feat. Zion.T, 개코 Of 다이나믹듀오)",프라이머리,랩/힙합
45,46,2013,4268441,10,우울시계 (Feat. 종현 Of SHINee),아이유,록/메탈
46,47,2013,4027954,10,내일 할 일,윤종신,발라드
47,48,2013,4248869,10,입만 살아가지고,신용재,발라드
48,49,2013,4260532,10,소독약 (Love medicine),주원,"발라드, 국내드라마"
49,50,2013,4243697,10,살자 (The Cure),드렁큰 타이거,랩/힙합
50,51,2013,4092360,10,봉숙이,장미여관,"인디음악, 포크/블루스"
51,52,2013,4160246,10,BAAAM (Feat. Muzie Of UV),다이나믹 듀오,랩/힙합
52,53,2013,4198784,10,낮과 밤,거미,"발라드, 국내드라마"
53,54,2013,4274230,10,Everybody,SHINee (샤이니),댄스
54,55,2013,4226369,10,집에 안갈래 (Feat. 긱스),나비,발라드
55,56,2013,4204459,10,사랑하고 있습니다,2BIC(투빅),"발라드, 국내드라마"
56,57,2013,4249274,10,빛이 되어줘,블락비 (Block B),댄스
57,58,2013,4163613,10,오늘따라 보고싶어서 그래,다비치,발라드
58,59,2013,4282710,10,미스터리 (Feat. San E),박지윤,댄스
59,60,2013,4204339,10,넌 내꺼라는걸 (Feat. 스윙스),허각,댄스
60,61,2013,4172962,10,Be OK (Feat. 배치기),유성은,R&B/Soul
61,62,2013,3947371,10,"? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)",프라이머리,랩/힙합
62,63,2013,4219031,10,울고만있어,백지영,"발라드, 국내드라마"
63,64,2013,4262132,10,불치병 (Feat. 키비 Of 이루펀트),나비,국내드라마
64,65,2013,4268438,10,Obliviate,아이유,록/메탈
65,66,2013,4184826,10,첫 사랑니 (Rum Pum Pum Pum),f(x),댄스
66,67,2013,4226209,10,R.O.D. (Feat. Lydia Paek),G-DRAGON,랩/힙합
67,68,2013,4138606,10,Give It To Me,씨스타,댄스
68,69,2013,4209541,10,기억속의 먼 그대에게,희진 (GOOD DAY),발라드
69,70,2013,4180409,10,Shadow (그림자),비스트,댄스
70,71,2013,4254952,10,I Am Sorry,J.Lee,발라드
71,72,2013,4223968,10,숙녀가 못 돼 (Damaged Lady),카라,댄스
72,73,2013,4261268,10,"우리는 (Feat. Crybaby, DJ Dopsh)",긱스 (Geeks),랩/힙합
73,74,2013,4221101,10,Tonight,스피카,댄스
74,75,2013,4268442,10,한낮의 꿈 (Feat. 양희은),아이유,록/메탈
75,76,2013,4129672,10,짧은머리,허각,발라드
76,77,2013,4264512,10,영원토록 (Feat. 존박),김진표,랩/힙합
77,78,2013,4245753,10,모르나요,김종국,"발라드, 국내드라마"
78,79,2013,4282579,10,니가 아닌 것 같아 (It`s Not You),케이윌,발라드
79,80,2013,4216803,10,장난아냐 (Rocking),틴탑,댄스
80,81,2013,4226207,10,쿠데타 (COUP D`ETAT) (Feat. Diplo & Baauer),G-DRAGON,랩/힙합
