,rank,year,month,song_id
0,1,2017,8,30486509
1,2,2017,8,30492279
2,3,2017,8,30566061
3,4,2017,8,30512671
4,5,2017,8,30467550
5,6,2017,8,30566064
6,7,2017,8,30568338
7,8,2017,8,30481578
8,9,2017,8,30492276
9,10,2017,8,30519033
10,11,2017,8,30468654
11,12,2017,8,30314784
12,13,2017,8,30529996
13,14,2017,8,30558525
14,15,2017,8,30488202
15,16,2017,8,30188113
16,17,2017,8,30565334
17,18,2017,8,30414090
18,19,2017,8,30461396
19,20,2017,8,30550293
20,21,2017,8,30568337
21,22,2017,8,30492606
22,23,2017,8,30403590
23,24,2017,8,30378156
24,25,2017,8,30519035
25,26,2017,8,30390068
26,27,2017,8,30587846
27,28,2017,8,30457690
28,29,2017,8,30536155
29,30,2017,8,30341745
30,31,2017,8,30413326
31,32,2017,8,30550388
32,33,2017,8,30190630
33,34,2017,8,30399360
34,35,2017,8,30565630
35,36,2017,8,4786735
36,37,2017,8,30367365
37,38,2017,8,30403589
38,39,2017,8,30568339
39,40,2017,8,30349593
40,41,2017,8,30495638
41,42,2017,8,8143111
42,43,2017,8,30163110
43,44,2017,8,8109412
44,45,2017,8,30566063
45,46,2017,8,30069773
46,47,2017,8,30453635
47,48,2017,8,30529995
48,49,2017,8,8287788
49,50,2017,8,30576771
50,51,2017,8,9620473
51,52,2017,8,9620469
52,53,2017,8,30543235
53,54,2017,8,8276709
54,55,2017,8,7931286
55,56,2017,8,30049271
56,57,2017,8,4032981
57,58,2017,8,30568340
58,59,2017,8,8033528
59,60,2017,8,30447547
60,61,2017,8,30271730
61,62,2017,8,30261007
62,63,2017,8,30383949
63,64,2017,8,30244931
64,65,2017,8,9614761
65,66,2017,8,8203900
66,67,2017,8,30529997
67,68,2017,8,30290011
68,69,2017,8,4383833
69,70,2017,8,30440430
70,71,2017,8,30408193
71,72,2017,8,30181278
72,73,2017,8,30208070
73,74,2017,8,30294022
74,75,2017,8,30529998
75,76,2017,8,30530002
76,77,2017,8,30079086
77,78,2017,8,3853980
78,79,2017,8,30588629
79,80,2017,8,30565335
80,81,2017,8,30551005
81,82,2017,8,5605860
82,83,2017,8,30054344
83,84,2017,8,30588628
84,85,2017,8,30530000
85,86,2017,8,30581595
86,87,2017,8,8155478
87,88,2017,8,30529999
88,89,2017,8,5629279
89,90,2017,8,30310862
90,91,2017,8,5659728
91,92,2017,8,30530001
92,93,2017,8,30568336
93,94,2017,8,30601121
94,95,2017,8,30530003
95,96,2017,8,30588627
96,97,2017,8,30566062
97,98,2017,8,30157753
98,99,2017,8,30576772
99,100,2017,8,30565629
