,rank,year,month,song_id
0,1,2004,12,622912
1,2,2004,12,623250
2,3,2004,12,623902
3,4,2004,12,623157
4,5,2004,12,602014
5,6,2004,12,622649
6,7,2004,12,600126
7,8,2004,12,622082
8,9,2004,12,537210
9,10,2004,12,622662
10,11,2004,12,601387
11,12,2004,12,622778
12,13,2004,12,600630
13,14,2004,12,602126
14,15,2004,12,537750
15,16,2004,12,631232
16,17,2004,12,601846
17,18,2004,12,602461
18,19,2004,12,619497
19,20,2004,12,623246
20,21,2004,12,600942
21,22,2004,12,537749
22,23,2004,12,537208
23,24,2004,12,622742
24,25,2004,12,623903
25,26,2004,12,623241
26,27,2004,12,632780
27,28,2004,12,623239
28,29,2004,12,623909
29,30,2004,12,632779
30,31,2004,12,530124
31,32,2004,12,642420
32,33,2004,12,632788
33,34,2004,12,601790
34,35,2004,12,623485
35,36,2004,12,539779
36,37,2004,12,625693
37,38,2004,12,521715
38,39,2004,12,533259
39,40,2004,12,623904
40,41,2004,12,529686
41,42,2004,12,536962
42,43,2004,12,623251
43,44,2004,12,519603
44,45,2004,12,623927
45,46,2004,12,623248
46,47,2004,12,623238
47,48,2004,12,623484
48,49,2004,12,623243
49,50,2004,12,623240
50,51,2004,12,623472
51,52,2004,12,623905
52,53,2004,12,533228
53,54,2004,12,622443
54,55,2004,12,623153
55,56,2004,12,601836
56,57,2004,12,622764
57,58,2004,12,623906
58,59,2004,12,634613
59,60,2004,12,623242
60,61,2004,12,623424
61,62,2004,12,623244
62,63,2004,12,600207
63,64,2004,12,638568
64,65,2004,12,529685
65,66,2004,12,622776
66,67,2004,12,623247
67,68,2004,12,623156
68,69,2004,12,503279
69,70,2004,12,632778
70,71,2004,12,623075
71,72,2004,12,623249
72,73,2004,12,623155
73,74,2004,12,622774
74,75,2004,12,623167
75,76,2004,12,534252
76,77,2004,12,623141
77,78,2004,12,623901
78,79,2004,12,632785
79,80,2004,12,621915
80,81,2004,12,622660
81,82,2004,12,632786
82,83,2004,12,623154
83,84,2004,12,632784
84,85,2004,12,623907
85,86,2004,12,601398
86,87,2004,12,602432
87,88,2004,12,530960
88,89,2004,12,539148
89,90,2004,12,623130
90,91,2004,12,638571
91,92,2004,12,536359
92,93,2004,12,363859
93,94,2004,12,623910
94,95,2004,12,622669
95,96,2004,12,623066
96,97,2004,12,601488
97,98,2004,12,623245
