,rank,year,month,song_id
0,1,2003,6,454477
1,2,2003,6,455208
2,3,2003,6,454493
3,4,2003,6,447863
4,5,2003,6,455260
5,6,2003,6,452849
6,7,2003,6,445413
7,8,2003,6,440982
8,9,2003,6,430908
9,10,2003,6,608151
10,11,2003,6,418596
11,12,2003,6,1726654
12,13,2003,6,1137829
13,14,2003,6,450178
14,15,2003,6,2247748
15,16,2003,6,439346
16,17,2003,6,441007
17,18,2003,6,451066
18,19,2003,6,451816
19,20,2003,6,452397
20,21,2003,6,417895
21,22,2003,6,418254
22,23,2003,6,454839
23,24,2003,6,420522
24,25,2003,6,420424
25,26,2003,6,444798
26,27,2003,6,420520
27,28,2003,6,456856
28,29,2003,6,419764
29,30,2003,6,420037
30,31,2003,6,460396
31,32,2003,6,460363
32,33,2003,6,1765866
33,34,2003,6,418072
34,35,2003,6,609674
35,36,2003,6,441286
36,37,2003,6,447642
37,38,2003,6,418990
38,39,2003,6,429656
39,40,2003,6,417935
40,41,2003,6,444957
41,42,2003,6,445158
42,43,2003,6,429655
43,44,2003,6,443515
44,45,2003,6,439947
45,46,2003,6,430341
46,47,2003,6,444960
47,48,2003,6,463530
48,49,2003,6,111413
49,50,2003,6,466094
50,51,2003,6,317801
51,52,2003,6,447645
52,53,2003,6,1185432
53,54,2003,6,105885
54,55,2003,6,316434
55,56,2003,6,315861
56,57,2003,6,317027
57,58,2003,6,419999
58,59,2003,6,421385
59,60,2003,6,430981
60,61,2003,6,441219
61,62,2003,6,420248
62,63,2003,6,451843
