,rank,year,month,song_id
0,1,2000,4,46218
1,2,2000,4,85707
2,3,2000,4,38558
3,4,2000,4,26822
4,5,2000,4,85900
5,6,2000,4,607552
6,7,2000,4,34093
7,8,2000,4,75233
8,9,2000,4,87019
9,10,2000,4,82594
10,11,2000,4,86668
11,12,2000,4,86857
12,13,2000,4,91325
13,14,2000,4,987282
14,15,2000,4,81713
15,16,2000,4,86575
16,17,2000,4,86327
17,18,2000,4,37516
18,19,2000,4,88423
19,20,2000,4,1606631
20,21,2000,4,87039
21,22,2000,4,1140592
22,23,2000,4,39017
23,24,2000,4,87707
24,25,2000,4,1564058
25,26,2000,4,91322
26,27,2000,4,85258
27,28,2000,4,37756
28,29,2000,4,86166
29,30,2000,4,1079496
30,31,2000,4,91327
31,32,2000,4,86128
32,33,2000,4,37990
33,34,2000,4,85678
34,35,2000,4,32495
35,36,2000,4,1576735
36,37,2000,4,38542
37,38,2000,4,85253
38,39,2000,4,8472
39,40,2000,4,2962362
40,41,2000,4,91326
41,42,2000,4,88429
42,43,2000,4,1483086
43,44,2000,4,84209
44,45,2000,4,1087406
45,46,2000,4,85257
46,47,2000,4,62185
47,48,2000,4,91321
48,49,2000,4,494157
49,50,2000,4,33108
50,51,2000,4,1606633
51,52,2000,4,86132
52,53,2000,4,4067
53,54,2000,4,86078
54,55,2000,4,86168
55,56,2000,4,898145
56,57,2000,4,1087403
57,58,2000,4,32497
58,59,2000,4,87186
59,60,2000,4,87307
60,61,2000,4,72505
61,62,2000,4,85311
62,63,2000,4,1516879
63,64,2000,4,494157
64,65,2000,4,4050182
65,66,2000,4,489869
66,67,2000,4,1594157
