,rank,year,month,song_id
0,1,2007,1,1522421
1,2,2007,1,1521180
2,3,2007,1,1538203
3,4,2007,1,1525533
4,5,2007,1,1459456
5,6,2007,1,1535477
6,7,2007,1,1521142
7,8,2007,1,1540132
8,9,2007,1,1537321
9,10,2007,1,1497527
10,11,2007,1,1535964
11,12,2007,1,1525541
12,13,2007,1,1533404
13,14,2007,1,1539174
14,15,2007,1,1500204
15,16,2007,1,1459449
16,17,2007,1,1489805
17,18,2007,1,1484802
18,19,2007,1,1534968
19,20,2007,1,1467722
20,21,2007,1,1491337
21,22,2007,1,1516853
22,23,2007,1,1523743
23,24,2007,1,1502237
24,25,2007,1,1456717
25,26,2007,1,1488904
26,27,2007,1,1524086
27,28,2007,1,1512805
28,29,2007,1,1528428
29,30,2007,1,1500206
30,31,2007,1,1552384
31,32,2007,1,1506403
32,33,2007,1,1538204
33,34,2007,1,1484165
34,35,2007,1,1454808
35,36,2007,1,1479631
36,37,2007,1,1516426
37,38,2007,1,1492286
38,39,2007,1,1527992
39,40,2007,1,1456656
40,41,2007,1,1521758
41,42,2007,1,1515686
42,43,2007,1,1542850
43,44,2007,1,1497480
44,45,2007,1,1513768
45,46,2007,1,1472307
46,47,2007,1,1525486
47,48,2007,1,1549870
48,49,2007,1,1551689
49,50,2007,1,1550828
50,51,2007,1,1540948
51,52,2007,1,1494387
52,53,2007,1,1524905
53,54,2007,1,1492525
54,55,2007,1,1416893
55,56,2007,1,1556547
56,57,2007,1,1525532
57,58,2007,1,1454809
58,59,2007,1,1535136
59,60,2007,1,1476571
60,61,2007,1,1551032
61,62,2007,1,1466870
62,63,2007,1,1525531
63,64,2007,1,1533403
64,65,2007,1,1533562
65,66,2007,1,1515952
66,67,2007,1,1466255
67,68,2007,1,1548909
68,69,2007,1,1484933
69,70,2007,1,1531467
70,71,2007,1,1507742
71,72,2007,1,1513154
72,73,2007,1,1552385
73,74,2007,1,1379738
74,75,2007,1,1493039
75,76,2007,1,1509828
76,77,2007,1,623902
77,78,2007,1,1456716
78,79,2007,1,1490825
79,80,2007,1,1120765
80,81,2007,1,1508940
81,82,2007,1,1484166
82,83,2007,1,1498079
83,84,2007,1,1114180
84,85,2007,1,1459885
85,86,2007,1,1455307
86,87,2007,1,1528267
87,88,2007,1,1540385
88,89,2007,1,1467079
89,90,2007,1,19807
90,91,2007,1,1484932
91,92,2007,1,1510413
92,93,2007,1,1423391
93,94,2007,1,1264830
94,95,2007,1,1287391
95,96,2007,1,1528361
96,97,2007,1,1374075
97,98,2007,1,1555096
98,99,2007,1,1539372
