,rank,year,month,song_id
0,1,2002,5,191093
1,2,2002,5,489210
2,3,2002,5,159406
3,4,2002,5,448502
4,5,2002,5,314448
5,6,2002,5,489252
6,7,2002,5,111413
7,8,2002,5,502946
8,9,2002,5,432824
9,10,2002,5,502928
10,11,2002,5,159881
11,12,2002,5,529013
12,13,2002,5,500797
13,14,2002,5,432844
14,15,2002,5,500962
15,16,2002,5,503109
16,17,2002,5,104586
17,18,2002,5,317742
18,19,2002,5,609419
19,20,2002,5,482404
20,21,2002,5,862035
21,22,2002,5,448806
22,23,2002,5,432269
23,24,2002,5,75233
24,25,2002,5,104187
25,26,2002,5,503472
26,27,2002,5,992575
27,28,2002,5,500963
28,29,2002,5,525246
29,30,2002,5,104110
30,31,2002,5,106465
31,32,2002,5,489226
32,33,2002,5,517708
33,34,2002,5,482406
34,35,2002,5,313002
35,36,2002,5,423507
36,37,2002,5,1589078
37,38,2002,5,106236
38,39,2002,5,425453
39,40,2002,5,105851
40,41,2002,5,90693
41,42,2002,5,503477
42,43,2002,5,667071
43,44,2002,5,104373
44,45,2002,5,517706
45,46,2002,5,523274
46,47,2002,5,105006
47,48,2002,5,106253
48,49,2002,5,1589083
49,50,2002,5,431033
50,51,2002,5,862046
51,52,2002,5,1456786
52,53,2002,5,196599
53,54,2002,5,104409
54,55,2002,5,103835
55,56,2002,5,432357
56,57,2002,5,94296
57,58,2002,5,1096485
58,59,2002,5,433590
59,60,2002,5,105013
60,61,2002,5,449004
61,62,2002,5,111208
62,63,2002,5,104798
