,rank,year,month,song_id
0,1,2000,3,86668
1,2,2000,3,607552
2,3,2000,3,1606631
3,4,2000,3,91325
4,5,2000,3,86575
5,6,2000,3,85900
6,7,2000,3,86166
7,8,2000,3,85258
8,9,2000,3,34093
9,10,2000,3,85707
10,11,2000,3,86327
11,12,2000,3,987282
12,13,2000,3,1564057
13,14,2000,3,81713
14,15,2000,3,91322
15,16,2000,3,489869
16,17,2000,3,32495
17,18,2000,3,62185
18,19,2000,3,33108
19,20,2000,3,85678
20,21,2000,3,38542
21,22,2000,3,494157
22,23,2000,3,1079496
23,24,2000,3,85257
24,25,2000,3,1087403
25,26,2000,3,26822
26,27,2000,3,9879
27,28,2000,3,72505
28,29,2000,3,75233
29,30,2000,3,898145
30,31,2000,3,1576735
31,32,2000,3,86104
32,33,2000,3,1483086
33,34,2000,3,46218
34,35,2000,3,88423
35,36,2000,3,1594157
36,37,2000,3,91321
37,38,2000,3,85311
38,39,2000,3,85843
39,40,2000,3,86078
40,41,2000,3,104677
41,42,2000,3,86076
42,43,2000,3,85508
43,44,2000,3,37756
44,45,2000,3,84209
45,46,2000,3,85402
46,47,2000,3,85674
47,48,2000,3,38210
48,49,2000,3,1516879
49,50,2000,3,1564058
50,51,2000,3,1139376
51,52,2000,3,37992
52,53,2000,3,8473
53,54,2000,3,1698078
54,55,2000,3,39017
55,56,2000,3,1709640
56,57,2000,3,1734400
57,58,2000,3,37990
58,59,2000,3,85422
59,60,2000,3,8472
60,61,2000,3,3105064
61,62,2000,3,611115
62,63,2000,3,1816948
