,rank,year,month,song_id
0,1,2015,10,7861392
1,2,2015,10,7877917
2,3,2015,10,7858908
3,4,2015,10,7858989
4,5,2015,10,7854179
5,6,2015,10,7881505
6,7,2015,10,7860122
7,8,2015,10,5826447
8,9,2015,10,7863752
9,10,2015,10,7870705
10,11,2015,10,5826461
11,12,2015,10,7896508
12,13,2015,10,7877918
13,14,2015,10,7847861
14,15,2015,10,5835766
15,16,2015,10,5791706
16,17,2015,10,7868989
17,18,2015,10,7884171
18,19,2015,10,5818522
19,20,2015,10,7881233
20,21,2015,10,5820368
21,22,2015,10,7852842
22,23,2015,10,5824839
23,24,2015,10,7896509
24,25,2015,10,7865089
25,26,2015,10,5385974
26,27,2015,10,5389475
27,28,2015,10,7888412
28,29,2015,10,5804040
29,30,2015,10,7874382
30,31,2015,10,5826462
31,32,2015,10,5807274
32,33,2015,10,5719286
33,34,2015,10,7896506
34,35,2015,10,5743804
35,36,2015,10,7870707
36,37,2015,10,5822923
37,38,2015,10,5815785
38,39,2015,10,7866804
39,40,2015,10,5704397
40,41,2015,10,5702706
41,42,2015,10,7886210
42,43,2015,10,5748406
43,44,2015,10,7896511
44,45,2015,10,7876540
45,46,2015,10,5713422
46,47,2015,10,7881449
47,48,2015,10,7880306
48,49,2015,10,5826465
49,50,2015,10,4743560
50,51,2015,10,7896507
51,52,2015,10,7881338
52,53,2015,10,5668985
53,54,2015,10,5771304
54,55,2015,10,5826464
55,56,2015,10,7896510
56,57,2015,10,7868801
57,58,2015,10,5760115
58,59,2015,10,4857981
59,60,2015,10,5748499
60,61,2015,10,7877919
61,62,2015,10,4660794
62,63,2015,10,5807273
63,64,2015,10,5781104
64,65,2015,10,5684826
65,66,2015,10,5650996
66,67,2015,10,7855597
67,68,2015,10,5804238
68,69,2015,10,7870472
69,70,2015,10,5700639
70,71,2015,10,7887818
71,72,2015,10,7896512
72,73,2015,10,5793206
73,74,2015,10,5818487
74,75,2015,10,7877920
75,76,2015,10,5760116
76,77,2015,10,5824767
77,78,2015,10,5576417
78,79,2015,10,7859960
79,80,2015,10,7888413
80,81,2015,10,7900822
81,82,2015,10,7876552
82,83,2015,10,5682700
83,84,2015,10,5811228
84,85,2015,10,5781707
85,86,2015,10,7876373
86,87,2015,10,5731941
87,88,2015,10,7863754
88,89,2015,10,7877921
89,90,2015,10,5795006
90,91,2015,10,7859965
91,92,2015,10,5765885
92,93,2015,10,4369827
93,94,2015,10,7852464
94,95,2015,10,5822925
95,96,2015,10,5721440
96,97,2015,10,7847624
97,98,2015,10,7874463
98,99,2015,10,7888331
99,100,2015,10,7869469
