,rank,year,month,song_id
0,1,2019,7,31870517
1,2,2019,7,31901475
2,3,2019,7,31788850
3,4,2019,7,31324607
4,5,2019,7,31854442
5,6,2019,7,31879867
6,7,2019,7,31029291
7,8,2019,7,31815967
8,9,2019,7,31873020
9,10,2019,7,31914848
10,11,2019,7,31701428
11,12,2019,7,31853557
12,13,2019,7,31908033
13,14,2019,7,31804010
14,15,2019,7,31737197
15,16,2019,7,31829536
16,17,2019,7,31893681
17,18,2019,7,31864770
18,19,2019,7,31899300
19,20,2019,7,31938460
20,21,2019,7,31666417
21,22,2019,7,31754579
22,23,2019,7,31815962
23,24,2019,7,31684636
24,25,2019,7,31688205
25,26,2019,7,31524320
26,27,2019,7,31841027
27,28,2019,7,31777113
28,29,2019,7,30962526
29,30,2019,7,31706215
30,31,2019,7,31872859
31,32,2019,7,31854689
32,33,2019,7,31532642
33,34,2019,7,31388145
34,35,2019,7,31709523
35,36,2019,7,31856628
36,37,2019,7,31341518
37,38,2019,7,31895208
38,39,2019,7,31606729
39,40,2019,7,31532656
40,41,2019,7,31835421
41,42,2019,7,31864628
42,43,2019,7,31532438
43,44,2019,7,31885924
44,45,2019,7,31717822
45,46,2019,7,31532643
46,47,2019,7,31877297
47,48,2019,7,31890067
48,49,2019,7,31798464
49,50,2019,7,31907388
50,51,2019,7,31151836
51,52,2019,7,31709524
52,53,2019,7,31655897
53,54,2019,7,31788828
54,55,2019,7,31921949
55,56,2019,7,30244931
56,57,2019,7,8235260
57,58,2019,7,31684634
58,59,2019,7,30227238
59,60,2019,7,31304766
60,61,2019,7,31815490
61,62,2019,7,31699965
62,63,2019,7,31815956
63,64,2019,7,31917677
64,65,2019,7,31477685
65,66,2019,7,31492319
66,67,2019,7,31576009
67,68,2019,7,31815961
68,69,2019,7,31266290
69,70,2019,7,31737198
70,71,2019,7,31621518
71,72,2019,7,31567235
72,73,2019,7,31703498
73,74,2019,7,31175119
74,75,2019,7,31924110
75,76,2019,7,31907390
76,77,2019,7,31788110
77,78,2019,7,31406357
78,79,2019,7,31907392
79,80,2019,7,31565593
80,81,2019,7,31737199
81,82,2019,7,31608765
82,83,2019,7,31706346
83,84,2019,7,31373277
84,85,2019,7,31938046
85,86,2019,7,31674786
86,87,2019,7,30699142
87,88,2019,7,31737202
88,89,2019,7,31403163
89,90,2019,7,31905105
90,91,2019,7,31399721
91,92,2019,7,31402611
92,93,2019,7,31803557
93,94,2019,7,31918207
94,95,2019,7,31812139
95,96,2019,7,31403156
96,97,2019,7,31920854
97,98,2019,7,31891942
98,99,2019,7,8298724
99,100,2019,7,31571110
