,rank,year,month,song_id
0,1,2014,2,4342899
1,2,2014,2,4412196
2,3,2014,2,4433490
3,4,2014,2,4383773
4,5,2014,2,4383349
5,6,2014,2,4418185
6,7,2014,2,4381724
7,8,2014,2,4389940
8,9,2014,2,4369827
9,10,2014,2,4397969
10,11,2014,2,4433528
11,12,2014,2,4375626
12,13,2014,2,4382254
13,14,2014,2,4400561
14,15,2014,2,4389943
15,16,2014,2,4393161
16,17,2014,2,4446485
17,18,2014,2,4388702
18,19,2014,2,3174148
19,20,2014,2,4389942
20,21,2014,2,4402769
21,22,2014,2,4412480
22,23,2014,2,4381721
23,24,2014,2,4389941
24,25,2014,2,2903041
25,26,2014,2,4366156
26,27,2014,2,4340421
27,28,2014,2,4398445
28,29,2014,2,4435548
29,30,2014,2,4342054
30,31,2014,2,4367874
31,32,2014,2,4404589
32,33,2014,2,4381937
33,34,2014,2,4418413
34,35,2014,2,4300699
35,36,2014,2,4312933
36,37,2014,2,4426293
37,38,2014,2,4441132
38,39,2014,2,4333566
39,40,2014,2,4404345
40,41,2014,2,4393317
41,42,2014,2,4388691
42,43,2014,2,4193337
43,44,2014,2,4362019
44,45,2014,2,4237755
45,46,2014,2,3893169
46,47,2014,2,4328659
47,48,2014,2,4381725
48,49,2014,2,4397968
49,50,2014,2,4296990
50,51,2014,2,4421555
51,52,2014,2,4454382
52,53,2014,2,4354180
53,54,2014,2,3436083
54,55,2014,2,4408091
55,56,2014,2,4328770
56,57,2014,2,4309790
57,58,2014,2,4308010
58,59,2014,2,4440763
59,60,2014,2,3726617
60,61,2014,2,4232200
61,62,2014,2,4423574
62,63,2014,2,4347674
63,64,2014,2,4391380
64,65,2014,2,4294284
65,66,2014,2,4443748
66,67,2014,2,4412346
67,68,2014,2,3953196
68,69,2014,2,4249547
69,70,2014,2,4372791
70,71,2014,2,4333791
71,72,2014,2,4426429
72,73,2014,2,4452405
73,74,2014,2,4393304
74,75,2014,2,4440773
75,76,2014,2,4398376
76,77,2014,2,4252728
77,78,2014,2,4230002
78,79,2014,2,4359786
79,80,2014,2,4268435
80,81,2014,2,4395216
81,82,2014,2,4340248
82,83,2014,2,4386738
83,84,2014,2,4462141
84,85,2014,2,4390318
85,86,2014,2,4382253
86,87,2014,2,4381720
87,88,2014,2,4438808
88,89,2014,2,4330549
89,90,2014,2,482653
90,91,2014,2,4438868
91,92,2014,2,4438401
92,93,2014,2,4428264
93,94,2014,2,4349964
94,95,2014,2,4320843
95,96,2014,2,4441099
96,97,2014,2,2911770
97,98,2014,2,4314704
98,99,2014,2,4423576
99,100,2014,2,4443897
