,rank,year,month,song_id
0,1,2006,5,1139741
1,2,2006,5,1135163
2,3,2006,5,1177470
3,4,2006,5,1114175
4,5,2006,5,1144020
5,6,2006,5,1114170
6,7,2006,5,1130736
7,8,2006,5,1173448
8,9,2006,5,1139742
9,10,2006,5,1177475
10,11,2006,5,1119896
11,12,2006,5,1141600
12,13,2006,5,1177471
13,14,2006,5,1177606
14,15,2006,5,1121540
15,16,2006,5,1099596
16,17,2006,5,1145088
17,18,2006,5,1108584
18,19,2006,5,1122105
19,20,2006,5,1147109
20,21,2006,5,1099478
21,22,2006,5,1089743
22,23,2006,5,1125392
23,24,2006,5,1188514
24,25,2006,5,1193994
25,26,2006,5,1115206
26,27,2006,5,1144935
27,28,2006,5,1173854
28,29,2006,5,1099594
29,30,2006,5,1146735
30,31,2006,5,1177472
31,32,2006,5,1145943
32,33,2006,5,1144018
33,34,2006,5,1188960
34,35,2006,5,1194316
35,36,2006,5,1068643
36,37,2006,5,1193331
37,38,2006,5,1143063
38,39,2006,5,1136334
39,40,2006,5,1146394
40,41,2006,5,1190874
41,42,2006,5,1003080
42,43,2006,5,1114174
43,44,2006,5,1123711
44,45,2006,5,1146305
45,46,2006,5,1097091
46,47,2006,5,1088419
47,48,2006,5,1173373
48,49,2006,5,1193333
49,50,2006,5,971441
50,51,2006,5,1125314
51,52,2006,5,1099824
52,53,2006,5,1199786
53,54,2006,5,1033126
54,55,2006,5,1178406
55,56,2006,5,1173404
56,57,2006,5,1094161
57,58,2006,5,1114180
58,59,2006,5,985472
59,60,2006,5,1147154
60,61,2006,5,1131254
61,62,2006,5,1134895
62,63,2006,5,1114173
63,64,2006,5,1177473
64,65,2006,5,1174158
65,66,2006,5,1086029
66,67,2006,5,1114171
67,68,2006,5,1177480
68,69,2006,5,1120765
69,70,2006,5,933582
70,71,2006,5,1188515
71,72,2006,5,1177939
72,73,2006,5,1177474
73,74,2006,5,1197688
74,75,2006,5,1146308
75,76,2006,5,1186483
76,77,2006,5,1144213
77,78,2006,5,1185418
78,79,2006,5,1090580
79,80,2006,5,1174844
80,81,2006,5,1032605
81,82,2006,5,1173841
82,83,2006,5,1178680
83,84,2006,5,1108723
84,85,2006,5,1093692
85,86,2006,5,1177477
86,87,2006,5,1114262
87,88,2006,5,1204915
88,89,2006,5,982379
89,90,2006,5,1199252
90,91,2006,5,1179418
91,92,2006,5,1144024
92,93,2006,5,1177478
93,94,2006,5,1147153
94,95,2006,5,1173852
95,96,2006,5,1145759
96,97,2006,5,1177476
97,98,2006,5,1199412
