,rank,year,month,song_id
0,1,2016,11,30054344
1,2,2016,11,30072072
2,3,2016,11,30069773
3,4,2016,11,9620469
4,5,2016,11,30040810
5,6,2016,11,5398990
6,7,2016,11,9631530
7,8,2016,11,30072075
8,9,2016,11,30063772
9,10,2016,11,30035555
10,11,2016,11,9614761
11,12,2016,11,30011624
12,13,2016,11,8143111
13,14,2016,11,30038185
14,15,2016,11,9620473
15,16,2016,11,30079086
16,17,2016,11,30029173
17,18,2016,11,9634954
18,19,2016,11,30105621
19,20,2016,11,30049271
20,21,2016,11,30088156
21,22,2016,11,8199190
22,23,2016,11,9613173
23,24,2016,11,8155478
24,25,2016,11,30066102
25,26,2016,11,30035184
26,27,2016,11,8304594
27,28,2016,11,9629220
28,29,2016,11,30076504
29,30,2016,11,9609354
30,31,2016,11,8203900
31,32,2016,11,8158031
32,33,2016,11,9647324
33,34,2016,11,8308231
34,35,2016,11,8268275
35,36,2016,11,8109412
36,37,2016,11,8271355
37,38,2016,11,30025065
38,39,2016,11,30105590
39,40,2016,11,8261338
40,41,2016,11,30072074
41,42,2016,11,9646401
42,43,2016,11,8033528
43,44,2016,11,30113169
44,45,2016,11,8252408
45,46,2016,11,9611490
46,47,2016,11,8262125
47,48,2016,11,8217164
48,49,2016,11,30079094
49,50,2016,11,30005102
50,51,2016,11,9606657
51,52,2016,11,30024794
52,53,2016,11,7861392
53,54,2016,11,8167307
54,55,2016,11,3620493
55,56,2016,11,8254545
56,57,2016,11,9620471
57,58,2016,11,30069774
58,59,2016,11,8298424
59,60,2016,11,30029565
60,61,2016,11,4660794
61,62,2016,11,9646572
62,63,2016,11,8065398
63,64,2016,11,9644886
64,65,2016,11,9631812
65,66,2016,11,30037874
66,67,2016,11,9647331
67,68,2016,11,8217163
68,69,2016,11,30084667
69,70,2016,11,4543502
70,71,2016,11,8304595
71,72,2016,11,30066101
72,73,2016,11,30017602
73,74,2016,11,30087587
74,75,2016,11,30035554
75,76,2016,11,30113165
76,77,2016,11,30029184
77,78,2016,11,7931286
78,79,2016,11,30072076
79,80,2016,11,30029175
80,81,2016,11,30066105
81,82,2016,11,9611296
82,83,2016,11,30043157
83,84,2016,11,30120986
84,85,2016,11,30066103
85,86,2016,11,30066104
86,87,2016,11,5620266
87,88,2016,11,30040811
88,89,2016,11,30029181
89,90,2016,11,30017605
90,91,2016,11,30029176
91,92,2016,11,30029183
92,93,2016,11,30054303
93,94,2016,11,5466962
94,95,2016,11,8295867
95,96,2016,11,8252409
96,97,2016,11,30003331
97,98,2016,11,30099861
98,99,2016,11,30029174
99,100,2016,11,30058197
