,rank,year,month,song_id
0,1,2008,1,1765767
1,2,2008,1,1733348
2,3,2008,1,1778667
3,4,2008,1,1782451
4,5,2008,1,1773274
5,6,2008,1,1772218
6,7,2008,1,1767765
7,8,2008,1,1698598
8,9,2008,1,1724693
9,10,2008,1,1778590
10,11,2008,1,1768249
11,12,2008,1,1756965
12,13,2008,1,1764208
13,14,2008,1,1765763
14,15,2008,1,1757178
15,16,2008,1,1786851
16,17,2008,1,1781233
17,18,2008,1,1742135
18,19,2008,1,1761731
19,20,2008,1,1763403
20,21,2008,1,1784804
21,22,2008,1,1782986
22,23,2008,1,1772114
23,24,2008,1,1764463
24,25,2008,1,1764198
25,26,2008,1,1788174
26,27,2008,1,1784765
27,28,2008,1,1754584
28,29,2008,1,1761732
29,30,2008,1,1789551
30,31,2008,1,1765764
31,32,2008,1,1749118
32,33,2008,1,1786108
33,34,2008,1,1742529
34,35,2008,1,1756308
35,36,2008,1,1778229
36,37,2008,1,1739689
37,38,2008,1,1746411
38,39,2008,1,1727882
39,40,2008,1,1736294
40,41,2008,1,1756995
41,42,2008,1,1778186
42,43,2008,1,1765766
43,44,2008,1,1755570
44,45,2008,1,1785909
45,46,2008,1,1787058
46,47,2008,1,1741110
47,48,2008,1,1789828
48,49,2008,1,1787234
49,50,2008,1,1727552
50,51,2008,1,1727368
51,52,2008,1,1739510
52,53,2008,1,1753876
53,54,2008,1,1768014
54,55,2008,1,1789069
55,56,2008,1,1782119
56,57,2008,1,1788359
57,58,2008,1,1748331
58,59,2008,1,1716430
59,60,2008,1,1698347
60,61,2008,1,1746426
61,62,2008,1,1778230
62,63,2008,1,1773263
63,64,2008,1,1727554
64,65,2008,1,1755299
65,66,2008,1,1786512
66,67,2008,1,1756969
67,68,2008,1,1785719
68,69,2008,1,1784930
69,70,2008,1,1786564
70,71,2008,1,1649190
71,72,2008,1,1776096
72,73,2008,1,1773276
73,74,2008,1,1666161
74,75,2008,1,1717446
75,76,2008,1,1783331
76,77,2008,1,1785923
77,78,2008,1,1787768
78,79,2008,1,1771020
79,80,2008,1,1769276
80,81,2008,1,1715765
81,82,2008,1,1790894
82,83,2008,1,1789082
83,84,2008,1,1790687
84,85,2008,1,1750433
85,86,2008,1,1777775
86,87,2008,1,1755551
87,88,2008,1,1778672
88,89,2008,1,1781865
89,90,2008,1,1787488
90,91,2008,1,1788073
91,92,2008,1,1764464
92,93,2008,1,1739691
93,94,2008,1,1778157
94,95,2008,1,1785684
95,96,2008,1,1768752
96,97,2008,1,1784887
97,98,2008,1,1782724
98,99,2008,1,1683050
99,100,2008,1,1743048
