,rank,year,month,song_id
0,1,2000,6,38426
1,2,2000,6,505165
2,3,2000,6,3824
3,4,2000,6,27232
4,5,2000,6,91329
5,6,2000,6,38557
6,7,2000,6,91331
7,8,2000,6,1140592
8,9,2000,6,3680
9,10,2000,6,85108
10,11,2000,6,610483
11,12,2000,6,79621
12,13,2000,6,445159
13,14,2000,6,91326
14,15,2000,6,62250
15,16,2000,6,3676
16,17,2000,6,82594
17,18,2000,6,87596
18,19,2000,6,4067
19,20,2000,6,91327
20,21,2000,6,26837
21,22,2000,6,86981
22,23,2000,6,87307
23,24,2000,6,88423
24,25,2000,6,75233
25,26,2000,6,91014
26,27,2000,6,87310
27,28,2000,6,87170
28,29,2000,6,91021
29,30,2000,6,2222185
30,31,2000,6,4077
31,32,2000,6,86669
32,33,2000,6,1175789
33,34,2000,6,37756
34,35,2000,6,610605
35,36,2000,6,1576735
36,37,2000,6,87019
37,38,2000,6,85257
38,39,2000,6,86132
39,40,2000,6,91318
40,41,2000,6,87022
41,42,2000,6,86854
42,43,2000,6,87039
43,44,2000,6,34093
44,45,2000,6,86980
45,46,2000,6,75203
46,47,2000,6,91322
47,48,2000,6,1606633
48,49,2000,6,37148
49,50,2000,6,86168
50,51,2000,6,86336
51,52,2000,6,104507
52,53,2000,6,38211
53,54,2000,6,88429
54,55,2000,6,37516
55,56,2000,6,86857
56,57,2000,6,88501
57,58,2000,6,32497
58,59,2000,6,8472
59,60,2000,6,1564058
60,61,2000,6,494157
61,62,2000,6,4050182
62,63,2000,6,2962362
