,rank,year,month,song_id
0,1,2003,3,429656
1,2,2003,3,420714
2,3,2003,3,420424
3,4,2003,3,1185432
4,5,2003,3,418253
5,6,2003,3,420248
6,7,2003,3,2064848
7,8,2003,3,417924
8,9,2003,3,419762
9,10,2003,3,417893
10,11,2003,3,430909
11,12,2003,3,441007
12,13,2003,3,420522
13,14,2003,3,1765866
14,15,2003,3,422606
15,16,2003,3,2032203
16,17,2003,3,418848
17,18,2003,3,418989
18,19,2003,3,315861
19,20,2003,3,418814
20,21,2003,3,419785
21,22,2003,3,317157
22,23,2003,3,441275
23,24,2003,3,316434
24,25,2003,3,418168
25,26,2003,3,421376
26,27,2003,3,419131
27,28,2003,3,444956
28,29,2003,3,420035
29,30,2003,3,421409
30,31,2003,3,314448
31,32,2003,3,418463
32,33,2003,3,445151
33,34,2003,3,421423
34,35,2003,3,419999
35,36,2003,3,421030
36,37,2003,3,317801
37,38,2003,3,316664
38,39,2003,3,430981
39,40,2003,3,316662
40,41,2003,3,436309
41,42,2003,3,422079
42,43,2003,3,420840
43,44,2003,3,419124
44,45,2003,3,430014
45,46,2003,3,423378
46,47,2003,3,430053
47,48,2003,3,608863
48,49,2003,3,317832
49,50,2003,3,422098
50,51,2003,3,444798
51,52,2003,3,316233
52,53,2003,3,316185
53,54,2003,3,419791
54,55,2003,3,317034
55,56,2003,3,420037
56,57,2003,3,418467
57,58,2003,3,316784
58,59,2003,3,430227
59,60,2003,3,432940
60,61,2003,3,313556
61,62,2003,3,421955
62,63,2003,3,424230
63,64,2003,3,317636
64,65,2003,3,314591
