,Date,Acid/Fusion/POP,Drama_OST,Classic,Indie_Music,Music_OST,Ballad,Dance,Rock/Metal,R&B/Soul,Electronica,Rap/Hiphop,EDM,POP,J-POP,Adults_Music,Jazz,Newage,Folk/Blues,Ani/GameOST,-
0,2000-01,,,,,,,,,3.8461538461538463,,,0.0,0.0,0.0,,,,,,1.282051282051282
1,2000-02,,,,,,,,,3.0303030303030303,,,0.0,0.0,0.0,,,,,,0.0
2,2000-03,,,,,,,,,2.9411764705882346,,,0.0,0.0,0.0,,,,,,1.4705882352941175
3,2000-04,,,,,,,,,4.225352112676056,,,0.0,0.0,0.0,,,,,,0.0
4,2000-05,,,,,,,,,6.666666666666668,,,0.0,0.0,0.0,,,,,,0.0
5,2000-06,,,,,,,,,7.4626865671641776,,,0.0,0.0,0.0,,,,,,0.0
6,2000-07,,,,,,,,,8.47457627118644,,,0.0,0.0,0.0,,,,,,0.0
7,2000-08,,,,,,,,,5.405405405405406,,,0.0,0.0,0.0,,,,,,0.0
8,2000-09,,,,,,,,,7.352941176470589,,,0.0,0.0,0.0,,,,,,0.0
9,2000-10,,,,,,,,,6.666666666666668,,,0.0,0.0,0.0,,,,,,0.0
10,2000-11,,,,,,,,,6.666666666666668,,,0.0,0.0,0.0,,,,,,0.0
11,2000-12,,,,,,,,,6.0606060606060606,,,0.0,0.0,0.0,,,,,,0.0
12,2001-01,,,,,,,,,7.352941176470589,,,0.0,0.0,0.0,,,,,,0.0
13,2001-02,,,,,,,,,7.4626865671641776,,,0.0,0.0,0.0,,,,,,0.0
14,2001-03,,,,,,,,,6.557377049180328,,,0.0,0.0,0.0,,,,,,1.639344262295082
15,2001-04,,,,,,,,,7.246376811594202,,,0.0,0.0,0.0,,,,,,1.4492753623188406
16,2001-05,,,,,,,,,8.823529411764708,,,0.0,0.0,0.0,,,,,,2.9411764705882346
17,2001-06,,,,,,,,,9.722222222222225,,,0.0,0.0,0.0,,,,,,4.166666666666666
18,2001-07,,,,,,,,,6.0606060606060606,,,0.0,0.0,0.0,,,,,,1.5151515151515151
19,2001-08,,,,,,,,,6.153846153846153,,,0.0,0.0,0.0,,,,,,0.0
