,genre,freq
0,발라드,38
1,댄스,20
2,R&B/Soul,9
3,랩/힙합,26
4,드라마OST,8
5,인디음악,5
6,일렉트로니카,1
7,록/메탈,2
8,POP,3
9,포크/블루스,1
