,genre,freq
0,랩/힙합,30
1,R&B/Soul,11
2,댄스,18
3,발라드,33
4,록/메탈,4
5,드라마OST,7
6,POP,5
7,영화OST,1
8,성인가요,1
9,포크/블루스,1
10,인디음악,1
