,genre,freq
0,록/메탈,11
1,발라드,48
2,랩/힙합,15
3,드라마OST,12
4,댄스,12
5,인디음악,8
6,R&B/Soul,8
7,POP,7
8,영화OST,1
9,만화/게임OST,1
