,genre,freq
0,발라드,39
1,댄스,17
2,R&B/Soul,9
3,POP,3
4,영화OST,8
5,록/메탈,11
6,일렉트로니카,2
7,랩/힙합,19
8,드라마OST,11
9,포크/블루스,3
