,genre,freq
0,댄스,30
1,랩/힙합,27
2,발라드,37
3,록/메탈,4
4,R&B/Soul,3
5,성인가요,1
6,드라마OST,5
7,영화OST,1
8,일렉트로니카,1
9,POP,1
