,genre,freq
0,발라드,25
1,랩/힙합,3
2,J-POP,16
3,R&B/Soul,12
4,POP,9
5,드라마OST,8
6,록/메탈,7
7,댄스,5
8,영화OST,7
9,재즈,1
10,애시드/퓨전/팝,1
11,-,5
12,클래식,1
13,일렉트로니카,1
