,genre,freq
0,인디음악,13
1,발라드,36
2,랩/힙합,19
3,댄스,20
4,R&B/Soul,7
5,포크/블루스,12
6,POP,2
7,드라마OST,6
8,록/메탈,3
9,EDM,1
10,일렉트로니카,1
