,genre,freq
0,발라드,46
1,드라마OST,10
2,록/메탈,11
3,인디음악,12
4,R&B/Soul,10
5,댄스,11
6,POP,7
7,랩/힙합,12
8,영화OST,1
9,포크/블루스,3
10,일렉트로니카,1
